Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Purple Wave Info,544627,Purple Wave Infocom Ltd,10.5,141,0.00,173,110,0.06,0.10,0.06,0.10
Time Technoplast,TIMETECHNO,Time Technoplast Ltd,47.2,"10,283",0.60,25,34,1.89,1.39,1.84,1.36
KVS Castings,544554,KVS Castings Ltd,17.3,122,0.00,13,N/A,1.33,N/A,1.33,N/A
Five-Star Bus.Fi,FIVESTAR,Five-Star Business Finance Ltd,14.8,"16,311",0.36,22,25,0.67,0.59,0.66,0.58
Indian Hume Pipe,INDIANHUME,Indian Hume Pipe Company Ltd,33.8,"2,040",0.52,3,8,11.27,4.22,9.60,3.97
IBL Finance,IBLFL,IBL Finance Ltd,62.3,152,0.00,6,92,10.38,0.68,10.38,0.68
Nureca,NURECA,Nureca Ltd,142,307,0.00,27,-64,5.26,Negative Growth,5.26,Negative Growth+Yield
