Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
MPS,MPSLTD,MPS Ltd,30.5,"4,380",3.24,15,17,2.03,1.79,1.67,1.51
Algoquant Fin,ALGOQUANT,Algoquant Fintech Ltd,57.3,"1,877",0.00,136,67,0.42,0.86,0.42,0.86
Network People,NPST,Network People Services Technologies Ltd,77.8,"3,194",0.13,84,107,0.93,0.73,0.92,0.73
JOJO,531910,JOJO Ltd,150,882,0.02,738,N/A,0.20,N/A,0.20,N/A
HLE Glascoat,HLEGLAS,HLE Glascoat Ltd,69.4,"2,886",0.26,-8,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Emami Paper,EMAMIPAP,Emami Paper Mills Ltd,7.61,719,1.35,-3,40,Negative Growth,0.19,Negative Growth+Yield,0.18
Rossell India,ROSSELLIND,Rossell India Ltd,13.8,222,0.68,-16,-14,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Marg Techno-Proj,540254,Marg Techno-Projects Ltd,145,144,0.00,26,30,5.58,4.83,5.58,4.83
M & M Fin. Serv.,M&MFIN,Mahindra & Mahindra Financial Services Ltd,16.2,"52,442",1.98,12,54,1.35,0.30,1.16,0.29
JK Paper,JKPAPER,JK Paper Ltd,28.2,"7,056",1.28,-34,-4,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Superhouse Ltd,SUPERHOUSE,Superhouse Ltd,12.5,182,0.49,-9,-6,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
