Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Tusaldah,531301,Tusaldah Limited,,N/A,-28.7,-81.6,32.0,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,79.0,1.27%,5.24,3.66,216,0.58,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Dhunseri Invest.,DHUNINV,Dhunseri Investments Ltd,,N/A,-3.05,-2.44,604,0.30,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Desco Infra.,544387,Desco Infratech Ltd,8.71,11.48%,30.4,25.3,143,0.00,137,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
SIL Investments,SILINV,SIL Investments Ltd,11.8,8.47%,1.87,1.43,480,0.55,12,14,0.98,0.84,0.94,0.81,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,6.3,EY:2.8 MoS:2.1 Cap:0.6 Div:0.8,⚖️ Fair Value
Justo Realfin,544542,Justo Realfintech Ltd,10.1,9.90%,27.2,21.4,194,0.00,8,77,1.26,0.13,1.26,0.13,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,7.0,EY:2.8 MoS:1.5 Cap:2.5 Div:0.2,🌟 Quality Value
Systango Tech,SYSTANGO,Systango Technologies Ltd,11.6,8.62%,30.5,24.6,330,3.12,31,40,0.37,0.29,0.34,0.27,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:2.8 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
JM Financial,JMFINANCIL,JM Financial Ltd,21.5,4.65%,17.6,15.1,"12,157",2.56,39,32,0.55,0.67,0.52,0.62,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection,6.9,EY:1.6 MoS:2.5 Cap:1.6 Div:1.2,🌟 Quality Value
Sharvaya Metals,544506,Sharvaya Metals Ltd,12.0,8.33%,28.7,23.3,140,0.00,82,N/A,0.15,N/A,0.15,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Sh. Jagdamba Pol,SHRJAGP,Shri Jagdamba Polymers Ltd,12.2,8.20%,15.3,11.6,577,0.15,6,-2,2.03,Negative Growth,1.98,Negative Growth+Yield,5.0,V:2.0 L:5.6 R:6.4 T:6.0,🛡️ Mature,5.4,EY:2.8 MoS:0.5 Cap:1.6 Div:0.5,⚖️ Fair Value
Fractal Industries,544707,Fractal Industries Ltd,12.5,8.00%,27.6,29.7,166,0.00,N/A,99,N/A,0.13,N/A,0.13,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery,6.5,EY:2.8 MoS:1.0 Cap:2.5 Div:0.2,🌟 Quality Value
Hind.Tin Works,HINDTINWRK,Hindustan Tin Works Ltd,12.6,7.94%,7.36,3.89,118,0.66,-19,-10,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.4,EY:2.8 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Shayona Eng.,544686,Shayona Engineering Ltd,13.4,7.46%,19.7,22.1,54.4,0.00,90,125,0.15,0.11,0.15,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
KPT Industries,505299,KPT Industries Ltd,13.8,7.25%,20.7,17.1,170,0.60,15,43,0.92,0.32,0.88,0.32,7.2,V:8.4 L:4.0 R:6.4 T:10.0,📈 Accelerating,7.8,EY:2.8 MoS:2.1 Cap:2.1 Div:0.8,🌟 Quality Value
Baroda Rayon,BARODARAYN,Baroda Rayon Corporation Ltd,14.6,6.85%,3.55,5.08,287,0.00,-56,17,Negative Growth,0.86,Negative Growth+Yield,0.86,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.8 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
