Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Samrat Pharma,530125,Samrat Pharmachem Ltd,,N/A,-2.52,-4.73,74.4,0.42,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.8,-58.6,94.4,5.32,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Naturite Agro,538926,Naturite Agro Products Ltd,,N/A,2.08,-7.32,105,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Saumya Cons,539218,Saumya Consultants Ltd,,N/A,-5.33,-3.77,84.4,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Kerala Ayurveda,530163,Kerala Ayurveda Ltd,,N/A,-9.11,-48.1,232,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Tega Inds.,TEGA,Tega Industries Ltd,76.7,1.30%,9.00,6.85,"12,453",0.12,11,-11,6.97,Negative Growth,6.90,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Propshare Celestia,544752,Property Share Investment Trust-Propshare Celestia,,N/A,N/A,N/A,238,1.62,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.7,EY:0.5 MoS:1.0 Cap:1.0 Div:1.2,⚠️ Value Trap
Nahar Capital,NAHARCAP,Nahar Capital & Financial Services Ltd,12.8,7.81%,4.11,3.16,436,0.58,1,-1,12.80,Negative Growth,8.10,Negative Growth+Yield,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.7,EY:2.8 MoS:0.5 Cap:0.6 Div:0.8,⚖️ Fair Value
CP Capital,CPCAP,CP Capital Limited,5.92,16.89%,7.98,5.93,208,2.63,14,25,0.42,0.24,0.36,0.21,7.6,V:10.0 L:4.0 R:6.4 T:10.0,🛡️ Mature,7.8,EY:3.5 MoS:2.5 Cap:0.6 Div:1.2,🌟 Quality Value
CSL Finance,CSLFINANCE,CSL Finance Ltd,6.00,16.67%,14.4,14.8,522,1.30,24,26,0.25,0.23,0.24,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating,8.4,EY:3.5 MoS:2.5 Cap:1.6 Div:0.8,💎 Deep Value
S J Logistics (I,SJLOGISTIC,S J Logistics (India) Ltd,12.8,7.81%,25.8,21.2,529,0.00,160,117,0.08,0.11,0.08,0.11,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Star Paper Mills,STARPAPER,Star Paper Mills Ltd,7.80,12.82%,5.03,4.71,241,1.63,-24,14,Negative Growth,0.56,Negative Growth+Yield,0.50,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.5,EY:3.5 MoS:0.2 Cap:0.6 Div:1.2,⚖️ Fair Value
Urban Enviro,URBAN,Urban Enviro Waste Management Ltd,8.13,12.30%,33.2,37.8,121,0.00,92,79,0.09,0.10,0.09,0.10,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Abans Financial,AFSL,Abans Financial Services Ltd,65.3,1.53%,2.97,2.85,"1,078",0.00,64,99,1.02,0.66,1.02,0.66,7.0,V:6.4 L:7.2 R:8.4 T:6.0,📈 Accelerating,2.8,EY:0.5 MoS:1.5 Cap:0.6 Div:0.2,⚠️ Value Trap
Haryana Capfin,532855,Haryana Capfin Ltd,8.57,11.67%,3.71,3.09,76.8,0.00,84,63,0.10,0.14,0.10,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.8,EY:3.5 MoS:2.5 Cap:0.6 Div:0.2,🌟 Quality Value
Life Insurance,LICI,Life Insurance Corporation of India,8.93,11.20%,35.3,38.1,"5,35,058",2.37,16,82,0.56,0.11,0.49,0.11,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating,9.7,EY:3.5 MoS:2.5 Cap:2.5 Div:1.2,💎 Deep Value
Bengal & Assam,BENGALASM,Bengal & Assam Company Ltd,61.2,1.63%,11.7,10.2,"7,259",0.79,5,39,12.24,1.57,10.57,1.54,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,2.9,EY:0.5 MoS:0.5 Cap:1.1 Div:0.8,⚠️ Value Trap
Winsol Engineers,WINSOL,Winsol Engineers Ltd,9.48,10.55%,24.6,25.7,136,0.00,41,96,0.23,0.10,0.23,0.10,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Vraj Iron,VRAJ,Vraj Iron & Steel Ltd,13.0,7.69%,10.2,7.39,416,0.00,-17,25,Negative Growth,0.52,Negative Growth+Yield,0.52,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Lords Chloro,LORDSCHLO,Lords Chloro Alkali Ltd,12.2,8.20%,13.1,12.1,402,0.00,-22,48,Negative Growth,0.25,Negative Growth+Yield,0.25,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.8,EY:2.8 MoS:0.2 Cap:1.6 Div:0.2,⚖️ Fair Value
Energy-Mission,EMMIL,Energy-Mission Machineries (India) Ltd,13.2,7.58%,15.4,12.3,147,0.00,12,64,1.10,0.21,1.10,0.21,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,6.1,EY:2.8 MoS:1.5 Cap:1.6 Div:0.2,⚖️ Fair Value
H P Cotton Tex,502873,H P Cotton Textile Mills Ltd,13.3,7.52%,18.9,16.0,41.1,0.00,29,-5,0.46,Negative Growth,0.46,Negative Growth+Yield,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Shayona Eng.,544686,Shayona Engineering Ltd,13.6,7.35%,19.7,22.1,55.0,0.00,90,125,0.15,0.11,0.15,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
WOL 3D India,WOL3D,WOL 3D India Ltd,13.9,7.19%,20.6,16.9,92.9,0.00,40,50,0.35,0.28,0.35,0.28,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Rulka,RULKA,Rulka Electricals Ltd,14.0,7.14%,12.4,9.20,46.1,0.00,6,44,2.33,0.32,2.33,0.32,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,5.1,EY:2.8 MoS:0.5 Cap:1.6 Div:0.2,⚖️ Fair Value
Aelea Commoditi.,544213,Aelea Commodities Ltd,14.2,7.04%,21.4,23.6,300,0.00,313,26,0.05,0.55,0.05,0.55,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
T & I Global,522294,T & I Global Ltd,14.2,7.04%,10.5,7.16,88.2,0.00,-4,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Om Power Transmission,OMPOWER,Om Power Transmission Ltd,14.3,6.99%,42.7,38.2,603,0.00,86,N/A,0.17,N/A,0.17,N/A,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Ultramarine Pig.,ULTRAMAR,Ultramarine & Pigments Ltd,14.7,6.80%,10.1,7.64,"1,201",1.46,1,5,14.70,2.94,5.98,2.28,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant,5.2,EY:2.8 MoS:0.5 Cap:1.1 Div:0.8,⚖️ Fair Value
Infosys,INFY,Infosys Ltd,15.0,6.67%,45.6,35.7,"4,65,983",4.20,9,11,1.67,1.36,1.14,0.99,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature,7.8,EY:2.8 MoS:1.0 Cap:2.5 Div:1.5,🌟 Quality Value
Chembond Materi.,CHEMBOND,Chembond Material Technologies Ltd,24.4,4.10%,4.96,3.90,228,1.15,31,-8,0.79,Negative Growth,0.76,Negative Growth+Yield,8.1,V:8.4 L:4.0 R:10.0 T:10.0,🚀 Inflection,5.1,EY:1.6 MoS:2.1 Cap:0.6 Div:0.8,⚖️ Fair Value
Alufluoride,ALUFLUOR,Alufluoride Ltd,15.1,6.62%,24.2,21.8,373,0.84,22,116,0.69,0.13,0.66,0.13,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,7.2,EY:2.2 MoS:2.1 Cap:2.1 Div:0.8,🌟 Quality Value
Muthoot Cap.Serv,MUTHOOTCAP,Muthoot Capital Services Ltd,15.7,6.37%,10.3,1.86,394,0.00,-46,-25,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.7,EY:2.2 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
TCS,TCS,Tata Consultancy Services Ltd,15.7,6.37%,76.7,65.2,"8,46,002",2.73,10,10,1.57,1.57,1.23,1.23,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature,6.9,EY:2.2 MoS:1.0 Cap:2.5 Div:1.2,🌟 Quality Value
Jasch Gauging,544112,Jasch Gauging Technologies Ltd,15.9,6.29%,21.3,15.7,240,1.89,-4,N/A,Negative Growth,N/A,Negative Growth+Yield,N/A,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.7,EY:2.2 MoS:0.2 Cap:2.1 Div:1.2,⚖️ Fair Value
Shubhshree Bio.,SHUBHSHREE,Shubhshree Biofuels Energy Ltd,20.6,4.85%,28.0,24.8,176,0.00,52,236,0.40,0.09,0.40,0.09,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.8,EY:1.6 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Sonata Software,SONATSOFTW,Sonata Software Ltd,26.5,3.77%,42.7,36.9,"8,536",2.59,11,11,2.41,2.41,1.95,1.95,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,5.2,EY:1.0 MoS:0.5 Cap:2.5 Div:1.2,⚖️ Fair Value
Megatherm Indu.,MEGATHERM,Megatherm Induction Ltd,17.0,5.88%,18.1,15.8,412,0.00,20,51,0.85,0.33,0.85,0.33,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,6.6,EY:2.2 MoS:2.1 Cap:2.1 Div:0.2,🌟 Quality Value
Hisar Met.Inds.,HISARMETAL,Hisar Metal Industries Ltd,17.1,5.85%,7.92,4.96,81.2,0.64,-34,-10,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.2 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Beekay Steel Ind,BEEKAY,Beekay Steel Industries Ltd,18.0,5.56%,5.67,3.70,815,0.24,-28,-13,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,3.5,EY:2.2 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
Lactose (India),524202,Lactose (India) Ltd,19.1,5.24%,11.3,9.81,132,0.00,72,35,0.27,0.55,0.27,0.55,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.0,EY:2.2 MoS:2.5 Cap:1.1 Div:0.2,⚖️ Fair Value
HCL Technologies,HCLTECH,HCL Technologies Ltd,19.6,5.10%,53.4,40.6,"3,57,090",4.10,3,8,6.53,2.45,2.76,1.62,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant,6.7,EY:2.2 MoS:0.5 Cap:2.5 Div:1.5,🌟 Quality Value
Texmaco Rail,TEXRAIL,Texmaco Rail & Engineering Ltd,21.0,4.76%,11.9,7.53,"4,456",0.69,112,74,0.19,0.28,0.19,0.28,9.3,V:10.0 L:7.2 R:10.0 T:10.0,🚀 Inflection,6.0,EY:1.6 MoS:2.5 Cap:1.1 Div:0.8,⚖️ Fair Value
Aryaman Capital,538716,Aryaman Capital Markets Ltd,20.9,4.78%,31.9,30.0,515,0.00,165,157,0.13,0.13,0.13,0.13,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.8,EY:1.6 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Forbes Precision,544186,Forbes Precision Tools & Machine Parts Ltd,21.9,4.57%,21.0,16.4,744,3.47,1301,N/A,0.02,N/A,0.02,N/A,8.9,V:10.0 L:5.6 R:10.0 T:10.0,🚀 Inflection,7.7,EY:1.6 MoS:2.5 Cap:2.1 Div:1.5,🌟 Quality Value
Sundaram Finance,SUNDARMFIN,Sundaram Finance Ltd,25.6,3.91%,9.72,15.9,"50,855",0.87,20,19,1.28,1.35,1.23,1.29,8.3,V:6.4 L:10.0 R:8.4 T:8.4,📈 Accelerating,4.9,EY:1.0 MoS:1.5 Cap:1.6 Div:0.8,⚖️ Fair Value
TCI Express,TCIEXP,TCI Express Ltd,23.4,4.27%,14.6,11.1,"2,132",1.26,-14,-2,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,4.2,EY:1.6 MoS:0.2 Cap:1.6 Div:0.8,⚠️ Value Trap
Mphasis,MPHASIS,Mphasis Ltd,29.6,3.38%,28.2,22.3,"47,052",2.53,0,5,Zero Growth,5.92,11.70,3.93,6.1,V:4.0 L:10.0 R:4.4 T:6.0,🔍 Discovery,5.7,EY:1.0 MoS:1.0 Cap:2.5 Div:1.2,⚖️ Fair Value
