Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Spel Semiconduct,SPELS,Spel Semiconductor Ltd,,N/A,0.06,-64.5,703,0.00,N/A,2,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
PG Foils,526747,PG Foils Ltd,,N/A,0.87,-2.47,251,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.8,-58.6,94.2,5.34,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Simplex Papers,533019,Simplex Papers Ltd,,N/A,-31.9,N/A,4.13,0.00,14,-2,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Kerala Ayurveda,530163,Kerala Ayurveda Ltd,,N/A,-9.11,-48.1,230,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Praveg,PRAVEG,Praveg Ltd,,N/A,-0.08,-2.72,724,0.36,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Available Fin.,AVAILFC,Available Finance Ltd,586,0.17%,1.65,1.17,152,0.00,2,-10,293.00,Negative Growth,293.00,Negative Growth+Yield,3.9,V:2.0 L:4.0 R:6.4 T:3.2,⚠️ Stagnant,1.8,EY:0.5 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
LIC Housing Fin.,LICHSGFIN,LIC Housing Finance Ltd,5.09,19.65%,8.58,14.4,"29,155",1.88,25,15,0.20,0.34,0.19,0.30,9.6,V:10.0 L:10.0 R:8.4 T:10.0,🚀 Inflection,8.8,EY:3.5 MoS:2.5 Cap:1.6 Div:1.2,💎 Deep Value
AG Ventures,OCCL,AG Ventures Ltd,5.92,16.89%,0.35,1.17,124,0.00,-59,-48,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.5,EY:3.5 MoS:0.2 Cap:0.6 Div:0.2,⚖️ Fair Value
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,80.4,1.24%,5.24,3.66,219,0.59,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Star Paper Mills,STARPAPER,Star Paper Mills Ltd,7.46,13.40%,5.03,4.71,231,1.70,-24,14,Negative Growth,0.53,Negative Growth+Yield,0.48,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.5,EY:3.5 MoS:0.2 Cap:0.6 Div:1.2,⚖️ Fair Value
Monarch Surve.,544453,Monarch Surveyors and Engineering Consultants Ltd,8.59,11.64%,28.5,21.9,320,0.71,63,N/A,0.14,N/A,0.13,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:3.5 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
