Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Dixon Technolog.,DIXON,Dixon Technologies (India) Ltd,111,"84,070",0.06,53,38,2.09,2.92,2.09,2.92
Amal,506597,Amal Ltd,138,937,0.21,85,-13,1.62,Negative Growth,1.62,Negative Growth+Yield
Share India Sec.,SHAREINDIA,Share India Securities Ltd,13.9,"4,141",0.69,9,35,1.54,0.40,1.43,0.39
TCPL Packaging,TCPLPACK,TCPL Packaging Ltd,27.9,"2,970",0.77,1,26,27.90,1.07,15.76,1.04
Kross Ltd,KROSS,Kross Ltd,24.1,"1,329",0.00,21,63,1.15,0.38,1.15,0.38
Lodha Developers,LODHA,Lodha Developers Ltd,39.6,"1,14,380",0.37,52,55,0.76,0.72,0.76,0.72
AVG Logistics,AVG,AVG Logistics Ltd,38.4,378,0.59,8,41,4.80,0.94,4.47,0.92
Ganesha Ecosphe.,GANECOS,Ganesha Ecosphere Ltd,67.5,"3,226",0.38,-13,2,Negative Growth,33.75,Negative Growth+Yield,28.36
Shardul Sec.,SHARDUL,Shardul Securities Ltd,39.8,470,0.00,N/A,N/A,N/A,N/A,N/A,N/A
