Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
The Ravalgaon,RAVALSUGAR,The Ravalgaon Sugar Farm Ltd,,33.5,0.00,-10,-25,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Artson,ARTSONENGG,Artson Ltd,,591,0.00,15,-41,N/A,N/A,N/A,N/A,5.0,V:4.0 L:5.6 R:6.4 T:4.0,🔍 Discovery
Tusaldah,531301,Tusaldah Limited,,34.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Naturite Agro,538926,Naturite Agro Products Ltd,,105,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Nimbus Projects,NIMBSPROJ,Nimbus Projects Ltd,,374,0.00,N/A,8,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Praveg,PRAVEG,Praveg Ltd,,707,0.37,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Tega Inds.,TEGA,Tega Industries Ltd,78.9,"12,813",0.12,11,-11,7.17,Negative Growth,7.10,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Ruparel Food,511740,Ruparel Food Products Ltd,,43.2,0.00,5,-11,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery
Rodium Realty,531822,Rodium Realty Ltd,8.71,54.8,0.00,115,34,0.08,0.26,0.08,0.26,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Prakash Industri,PRAKASH,Prakash Industries Ltd,7.78,"2,436",1.10,21,29,0.37,0.27,0.35,0.26,8.9,V:10.0 L:7.2 R:8.4 T:10.0,📈 Accelerating
Shrem InvIT,SHREMINVIT,Shrem InvIT,14.0,"6,200",2.96,186,149,0.08,0.09,0.07,0.09,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.29,74.7,0.35,129,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Haryana Capfin,532855,Haryana Capfin Ltd,8.61,77.2,0.00,84,63,0.10,0.14,0.10,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
B P C L,BPCL,Bharat Petroleum Corporation Ltd,9.15,"1,38,248",5.50,107,13,0.09,0.70,0.08,0.49,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
Hind.Adhesive,514428,Hindustan Adhesives Ltd,8.14,143,0.00,54,15,0.15,0.54,0.15,0.54,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Dynavision,517238,Dynavision Ltd,9.24,80.6,0.00,17,13,0.54,0.71,0.54,0.71,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating
SIL Investments,SILINV,SIL Investments Ltd,11.4,462,0.57,12,14,0.95,0.81,0.91,0.78,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Shraddha Prime,531771,Shraddha Prime Projects Ltd,9.92,638,0.19,344,204,0.03,0.05,0.03,0.05,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Petronet LNG,PETRONET,Petronet LNG Ltd,10.3,"42,673",3.54,6,5,1.72,2.06,1.08,1.21,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature
Pushpa Jewellers,PUSHPA,Pushpa Jewellers Ltd,10.4,279,0.00,49,72,0.21,0.14,0.21,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
MANGALAM SEEDS,539275,Mangalam Seeds Ltd,17.4,149,0.00,-9,6,Negative Growth,2.90,Negative Growth+Yield,2.90,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
KNR Construct.,KNRCON,KNR Constructions Ltd,33.3,"3,730",0.19,-33,-14,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Chola Financial,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,414,"30,084",0.08,7,27,59.14,15.33,58.47,15.29,5.4,V:2.0 L:10.0 R:6.4 T:3.2,🛡️ Mature
Brandman Retail,BRANDMAN,Brandman Retail Ltd,11.3,335,0.00,286,N/A,0.04,N/A,0.04,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Hind.Tin Works,HINDTINWRK,Hindustan Tin Works Ltd,12.0,113,0.74,-20,-11,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
B & A Packaging,523186,B & A Packaging India Ltd,12.3,95.7,0.52,-6,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Wipro,WIPRO,Wipro Ltd,16.1,"1,81,894",5.99,10,4,1.61,4.03,1.01,1.61,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature
WOL 3D India,WOL3D,WOL 3D India Ltd,14.0,93.2,0.00,40,50,0.35,0.28,0.35,0.28,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Guj Pipavav Port,GPPL,Gujarat Pipavav Port Ltd,14.4,"7,665",6.56,15,17,0.96,0.85,0.67,0.61,8.4,V:8.4 L:8.8 R:6.4 T:10.0,📈 Accelerating
National Fitting,531289,National Fittings Ltd,14.3,149,0.61,28,43,0.51,0.33,0.50,0.33,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
CESC,CESC,CESC Ltd,25.8,"22,247",3.58,2,1,12.90,25.80,4.62,5.63,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant
Bajaj Holdings,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,42.1,"1,26,919",1.27,15,67,2.81,0.63,2.59,0.62,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Revathi Equip,RVTH,Revathi Equipment India Ltd,16.4,224,0.00,1,3,16.40,5.47,16.40,5.47,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
Seshasayee Paper,SESHAPAPER,Seshasayee Paper & Boards Ltd,17.4,"1,468",0.86,-44,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
KIFS Financial,535566,KIFS Financial Services Ltd,14.9,124,1.30,8,16,1.86,0.93,1.60,0.86,5.2,V:4.4 L:4.0 R:6.4 T:6.0,🛡️ Mature
Zodiac Energy,ZODIAC,Zodiac Energy Ltd,15.9,405,0.28,90,37,0.18,0.43,0.18,0.43,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Career Point Edu,CPEDU,Career Point Edutech Ltd,16.0,373,1.22,98,N/A,0.16,N/A,0.16,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
The Invest.Trust,THEINVEST,The Investment Trust of India Ltd,,525,0.00,N/A,7,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Rajputana Bio.,RAJPUTANA,Rajputana Biodiesel Ltd,30.7,151,0.00,42,41,0.73,0.75,0.73,0.75,7.3,V:8.4 L:4.0 R:8.4 T:8.4,🚀 Inflection
Excel Industries,EXCELINDUS,Excel Industries Ltd,18.5,"1,277",1.36,-2,1,Negative Growth,18.50,Negative Growth+Yield,7.84,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Poddar Pigments,PODDARMENT,Poddar Pigments Ltd,18.6,284,1.53,-19,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Dynamic Industri,524818,Dynamic Industries Ltd,18.8,33.3,0.91,20,37,0.94,0.51,0.90,0.50,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating
Krsnaa Diagnost.,KRSNAA,Krsnaa Diagnostics Ltd,18.4,"1,885",0.48,17,-11,1.08,Negative Growth,1.05,Negative Growth+Yield,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating
Kotak Mah. Bank,KOTAKBANK,Kotak Mahindra Bank Ltd,26.2,"3,89,344",0.17,9,15,2.91,1.75,2.86,1.73,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Chandan Healthca,CHANDAN,Chandan Healthcare Ltd,22.2,606,0.00,89,102,0.25,0.22,0.25,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Ahluwalia Contr.,AHLUCONT,Ahluwalia Contracts (India) Ltd,21.3,"5,626",0.07,11,28,1.94,0.76,1.92,0.76,6.4,V:4.4 L:8.8 R:6.4 T:6.0,🛡️ Mature
AWL Agri Busine.,AWL,AWL Agri Business Ltd,22.6,"24,989",0.52,18,9,1.26,2.51,1.22,2.37,8.7,V:6.4 L:10.0 R:8.4 T:10.0,📈 Accelerating
Apollo Finvest,512437,Apollo Finvest (India) Ltd,23.1,132,0.00,-17,7,Negative Growth,3.30,Negative Growth+Yield,3.30,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Vilas Transcore,VILAS,Vilas Transcore Ltd,23.2,916,0.00,26,50,0.89,0.46,0.89,0.46,8.1,V:8.4 L:5.6 R:8.4 T:10.0,🚀 Inflection
Godrej Agrovet,GODREJAGRO,Godrej Agrovet Ltd,19.3,"11,182",1.89,31,14,0.62,1.38,0.59,1.21,9.3,V:8.4 L:8.8 R:10.0 T:10.0,🚀 Inflection
Chemcon Special.,CHEMCON,Chemcon Speciality Chemicals Ltd,24.6,694,3.40,-24,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Keynote Finan.,KEYFINSERV,Keynote Financial Services Ltd,63.6,151,0.37,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery
ICRA,ICRA,ICRA Ltd,39.2,"5,095",1.32,10,20,3.92,1.96,3.46,1.84,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
C K K Retail,CKKRETAIL,C K K Retail Mart Ltd,26.3,284,0.00,31,124,0.85,0.21,0.85,0.21,7.3,V:8.4 L:4.0 R:8.4 T:8.4,🚀 Inflection
Holmarc Opto,HOLMARC,Holmarc Opto-Mechatronics Ltd,26.4,108,0.37,11,42,2.40,0.63,2.32,0.62,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature
Dodla Dairy,DODLA,Dodla Dairy Ltd,35.2,"6,693",0.45,32,15,1.10,2.35,1.08,2.28,8.0,V:6.4 L:8.8 R:8.4 T:8.4,📈 Accelerating
E to E Transportation,E2ERAIL,E to E Transportation Infrastructure Ltd,26.3,460,0.00,32,10,0.82,2.63,0.82,2.63,7.3,V:8.4 L:4.0 R:8.4 T:8.4,🚀 Inflection
L&T Technology,LTTS,L&T Technology Services Ltd,29.4,"36,906",1.67,4,14,7.35,2.10,5.19,1.88,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant
Vidhi Specialty,VIDHIING,Vidhi Specialty Food Ingredients Ltd,29.4,"1,573",0.96,9,6,3.27,4.90,2.95,4.22,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature
Heidelberg Cem.,HEIDELBERG,HeidelbergCement India Ltd,29.5,"3,582",4.43,12,-15,2.46,Negative Growth,1.80,Negative Growth+Yield,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature
Honda India,HONDAPOWER,Honda India Power Products Ltd,29.9,"2,186",5.85,-9,8,Negative Growth,3.74,Negative Growth+Yield,2.16,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Forbes & Co,FORBESGOK,Forbes & Company Ltd,28.6,395,0.00,11,15,2.60,1.91,2.60,1.91,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature
Jindal Steel,JINDALSTEL,Jindal Steel Ltd,32.5,"1,12,774",0.18,15,-11,2.17,Negative Growth,2.14,Negative Growth+Yield,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Borosil,BORORENEW,Borosil Renewables Ltd,20.1,"8,088",0.00,61,32,0.33,0.63,0.33,0.63,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection
JSW Dulux,JSWDULUX,JSW Dulux Ltd,37.6,"14,428",1.58,2,11,18.80,3.42,10.50,2.99,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant
Blue Dart Expres,BLUEDART,Blue Dart Express Ltd,38.6,"12,222",0.49,-8,19,Negative Growth,2.03,Negative Growth+Yield,1.98,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Supreme Inds.,SUPREMEIND,Supreme Industries Ltd,47.8,"45,004",1.01,6,2,7.97,23.90,6.82,15.88,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Suyog Gurbaxani,543391,Suyog Gurbaxani Funicular Ropeways Ltd,23.4,260,0.00,230,28,0.10,0.84,0.10,0.84,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Bharti Hexacom,BHARTIHEXA,Bharti Hexacom Ltd,43.9,"81,083",1.11,46,35,0.95,1.25,0.93,1.22,9.2,V:8.4 L:10.0 R:10.0 T:8.4,🚀 Inflection
ICICI Pru Life,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,44.0,"74,161",0.32,25,11,1.76,4.00,1.74,3.89,7.2,V:4.4 L:10.0 R:8.4 T:6.0,🛡️ Mature
KFin Technolog.,KFINTECH,KFin Technologies Ltd,45.6,"16,334",1.28,22,49,2.07,0.93,1.96,0.91,6.3,V:2.0 L:8.8 R:8.4 T:6.0,🛡️ Mature
Cochin Shipyard,COCHINSHIP,Cochin Shipyard Ltd,61.5,"39,527",0.50,31,1,1.98,61.50,1.95,41.00,7.2,V:4.4 L:10.0 R:8.4 T:6.0,🛡️ Mature
Salona Cotspin,SALONA,Salona Cotspin Ltd,59.4,136,0.39,-55,-24,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Blackbuck,BLACKBUCK,Blackbuck Ltd,59.9,"10,395",0.00,37,22,1.62,2.72,1.62,2.72,6.9,V:4.4 L:8.8 R:8.4 T:6.0,🛡️ Mature
Kiran Vyapar,KIRANVYPAR,Kiran Vyapar Ltd,51.4,553,0.50,-22,-32,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Puravankara,PURVA,Puravankara Ltd,73.7,"5,183",0.00,38,56,1.94,1.32,1.94,1.32,6.9,V:4.4 L:8.8 R:8.4 T:6.0,🛡️ Mature
JSW Holdings,JSWHL,JSW Holdings Ltd,105,"13,183",0.00,-26,13,Negative Growth,8.08,Negative Growth+Yield,8.08,3.7,V:0.8 L:8.8 R:2.0 T:3.2,🔻 Declining
Voltas,VOLTAS,Voltas Ltd,124,"43,869",0.30,-12,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:10.0 R:2.0 T:3.2,🔻 Declining
GRP,GRPLTD,GRP Ltd,90.9,"1,071",0.17,3,73,30.30,1.25,28.68,1.24,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant
Lak. Electrical,LAKSELECON,Lakshmi Electrical Control Systems Ltd,173,201,0.37,-61,-25,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
ZR2 Bioenergy,506640,ZR2 Bioenergy Ltd,273,191,0.08,312,51,0.88,5.35,0.87,5.34,6.0,V:8.4 L:4.0 R:8.4 T:3.2,🚀 Inflection
Bombay Oxygen,509470,Bombay Oxygen Investments Ltd,279,293,0.13,N/A,N/A,N/A,N/A,N/A,N/A,3.8,V:4.0 L:4.0 R:4.0 T:3.2,🔍 Discovery
Team India Guar.,TEAMGTY,Team India Guaranty Ltd,289,208,0.00,-9,-36,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
SKP Bearing,SKP,SKP Bearing Industries Ltd,17.9,269,0.69,4,N/A,4.47,N/A,3.82,N/A,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
Bhudevi Infra,526488,Bhudevi Infra Projects Ltd,701,84.1,0.00,-28,25,Negative Growth,28.04,Negative Growth+Yield,28.04,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
