Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.7,-58.6,95.1,5.28,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Asit C Mehta Fin,530723,Asit C Mehta Financial Services ltd,,N/A,3.59,-4.79,93.6,0.00,15,N/A,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Nimbus Projects,NIMBSPROJ,Nimbus Projects Ltd,,N/A,-2.59,-5.46,365,0.00,N/A,8,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Essen Speciality,ESFL,Essen Speciality Films Ltd,,N/A,-1.25,-2.70,309,0.80,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.9,EY:0.5 MoS:1.0 Cap:0.6 Div:0.8,⚠️ Value Trap
JK Agri Genetics,536493,JK Agri Genetics Ltd,,N/A,5.25,-8.06,141,0.00,7,N/A,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
IST,ISTLTD,IST Ltd,18.2,5.49%,14.9,12.4,793,0.00,68,36,0.27,0.51,0.27,0.51,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.5,EY:2.2 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
SP Refractories,SPRL,SP Refractories Ltd,5.27,18.98%,28.6,24.6,18.6,0.96,79,36,0.07,0.15,0.07,0.14,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:3.5 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,75.3,1.33%,5.24,3.66,206,0.61,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Savy Infra,SAVY,Savy Infra and Logistics Ltd,6.82,14.66%,42.8,39.9,287,0.00,398,N/A,0.02,N/A,0.02,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Expleo Solutions,EXPLEOSOL,Expleo Solutions Ltd,11.4,8.77%,23.0,17.6,"1,398",12.2,-4,19,Negative Growth,0.60,1.39,0.37,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,6.6,EY:2.8 MoS:0.2 Cap:2.1 Div:1.5,🌟 Quality Value
