Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
BirlaNu Ltd,BIRLANU,BirlaNu Ltd,24.6,4.07%,3.04,0.03,"1,091",1.04,-86,-71,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,3.2,EY:1.6 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Sambandam Spg.,SAMBANDAM,Sambandam Spinning Mills Ltd,,N/A,2.28,-6.75,47.6,0.00,15,N/A,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Tips Films,TIPSFILMS,Tips Films Ltd,,N/A,-6.69,-42.1,149,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
SignatureGlobal,SIGNATURE,SignatureGlobal India Ltd,,N/A,5.69,-4.79,"11,066",0.00,17,N/A,N/A,N/A,N/A,N/A,6.3,V:4.0 L:8.8 R:8.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
OneSource Speci.,ONESOURCE,OneSource Specialty Pharma Ltd,348,0.29%,2.05,0.45,"18,463",0.00,27,17,12.89,20.47,12.89,20.47,5.6,V:2.0 L:8.8 R:8.4 T:3.2,🛡️ Mature,1.8,EY:0.5 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
Diensten Tech,DTL,Diensten Tech Ltd,40.1,2.49%,8.64,4.13,107,0.00,71,-7,0.56,Negative Growth,0.56,Negative Growth+Yield,7.7,V:10.0 L:4.0 R:8.4 T:8.4,🚀 Inflection,4.3,EY:0.5 MoS:2.5 Cap:1.1 Div:0.2,⚠️ Value Trap
De Neers Tools,DENEERS,De Neers Tools Ltd,7.86,12.72%,22.5,26.3,162,0.00,44,N/A,0.18,N/A,0.18,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
NCL Industries,NCLIND,NCL Industries Ltd,6.55,15.27%,14.6,11.3,812,1.95,31,-7,0.21,Negative Growth,0.20,Negative Growth+Yield,8.9,V:10.0 L:5.6 R:10.0 T:10.0,🚀 Inflection,8.8,EY:3.5 MoS:2.5 Cap:1.6 Div:1.2,💎 Deep Value
S Chand & Compan,SCHAND,S Chand & Company Ltd,49.3,2.03%,3.08,1.91,513,2.76,25,45,1.97,1.10,1.78,1.03,6.1,V:4.4 L:5.6 R:8.4 T:6.0,🛡️ Mature,3.3,EY:0.5 MoS:1.0 Cap:0.6 Div:1.2,⚠️ Value Trap
Sandesh,SANDESH,Sandesh Ltd,7.13,14.03%,7.16,4.95,788,0.48,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,4.8,EY:3.5 MoS:0.2 Cap:0.6 Div:0.5,⚖️ Fair Value
Mahalaxmi Rubtec,MHLXMIRU,Mahalaxmi Rubtech Ltd,7.71,12.97%,32.8,27.7,178,0.00,27,29,0.29,0.27,0.29,0.27,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
SIL Investments,SILINV,SIL Investments Ltd,12.1,8.26%,1.87,1.43,491,0.55,12,14,1.01,0.86,0.96,0.83,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,5.7,EY:2.8 MoS:1.5 Cap:0.6 Div:0.8,⚖️ Fair Value
Justo Realfin,544542,Justo Realfintech Ltd,10.1,9.90%,27.2,21.4,194,0.00,8,77,1.26,0.13,1.26,0.13,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,7.0,EY:2.8 MoS:1.5 Cap:2.5 Div:0.2,🌟 Quality Value
NTC Industries,NTCIND,NTC Industries Ltd,14.2,7.04%,11.1,8.26,203,0.00,107,18,0.13,0.79,0.13,0.79,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.6,EY:2.8 MoS:2.5 Cap:1.1 Div:0.2,🌟 Quality Value
