Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Sanofi Consumer,SANOFICONR,Sanofi Consumer Healthcare India Ltd,42.7,"10,787",1.61,N/A,N/A,N/A,N/A,N/A,N/A
Action Const.Eq.,ACE,Action Construction Equipment Ltd,28.7,"12,826",0.19,38,41,0.76,0.70,0.75,0.70
Techknowgreen,543991,Techknowgreen Solutions Ltd,11.0,107,0.00,131,92,0.08,0.12,0.08,0.12
Fidel Softech,FIDEL,Fidel Softech Ltd,26.5,226,1.37,16,20,1.66,1.32,1.53,1.24
Bemco Hydraulics,522650,Bemco Hydraulics Ltd,48.6,472,0.10,28,19,1.74,2.56,1.73,2.54
Milkfood,507621,Milkfood Ltd,3.77,167,0.96,67,79,0.06,0.05,0.06,0.05
PNGS Reva Diamo.,PNGSREVA,PNGS Reva Diamond Jewellery Limited,20.9,"1,354",0.00,8,N/A,2.61,N/A,2.61,N/A
Hariom Pipe,HARIOMPIPE,Hariom Pipe Industries Ltd,15.9,"1,206",0.15,18,38,0.88,0.42,0.88,0.42
Atul,ATUL,Atul Ltd,28.5,"19,878",0.44,2,-1,14.25,Negative Growth,11.68,Negative Growth+Yield
3i Infotech,3IINFOLTD,3i Infotech Ltd,15.5,442,0.00,-16,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Eimco Elecon(I),EIMCOELECO,Eimco Elecon (India) Ltd,26.4,"1,045",0.22,19,25,1.39,1.06,1.37,1.05
Chatha Foods,544151,Chatha Foods Ltd,33.3,223,0.00,37,30,0.90,1.11,0.90,1.11
Asahi Songwon,ASAHISONG,Asahi Songwon Colors Ltd,17.9,402,0.44,89,-6,0.20,Negative Growth,0.20,Negative Growth+Yield
Mahindra Life.,MAHLIFE,Mahindra Lifespace Developers Ltd,40.4,"8,043",0.92,32,28,1.26,1.44,1.23,1.40
SC Agrotech,526081,SC Agrotech Ltd,74.6,249,0.00,94,142,0.79,0.53,0.79,0.53
Ramkrishna Forg.,RKFORGE,Ramkrishna Forgings Ltd,91.7,"11,390",0.32,-26,27,Negative Growth,3.40,Negative Growth+Yield,3.36
Chandrima Mercan,540829,Chandrima Mercantiles Ltd,38.9,233,0.00,569,29,0.07,1.34,0.07,1.34
