Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Samrat Pharma,530125,Samrat Pharmachem Ltd,,74.9,0.41,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Dalal Street Inv,501148,Dalal Street Investments Ltd,,12.3,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Naturite Agro,538926,Naturite Agro Products Ltd,,106,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Diamines & Chem.,DIAMINESQ,Diamines & Chemicals Ltd,,263,0.38,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Repro India,REPRO,Repro India Ltd,,538,0.00,N/A,9,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Ucal,UCAL,Ucal Ltd,57.0,258,0.00,-19,-34,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Loyal Textile,LOYALTEX,Loyal Textile Mills Ltd,,98.4,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
BirlaNu Ltd,BIRLANU,BirlaNu Ltd,"2,692","1,050",1.07,-86,-71,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.3,V:0.8 L:7.2 R:2.0 T:3.2,🔻 Declining
A B Real Estate,ABREL,Aditya Birla Real Estate Ltd,43.5,"15,899",0.18,10,63,4.35,0.69,4.27,0.69,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Ruparel Food,511740,Ruparel Food Products Ltd,,42.8,0.00,5,-11,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery
Skybiotech Healthcare,512036,Skybiotech Healthcare Limited,,32.0,0.00,N/A,-4,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Propshare Celestia,544752,Property Share Investment Trust-Propshare Celestia,,238,1.61,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Canara Bank,CANBK,Canara Bank,6.07,"1,17,159",3.26,23,50,0.26,0.12,0.23,0.11,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating
Punjab Natl.Bank,PNB,Punjab National Bank,6.39,"1,30,835",2.64,89,53,0.07,0.12,0.07,0.11,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
REC Ltd,RECLTD,REC Ltd,6.04,"96,560",5.07,14,14,0.43,0.43,0.32,0.32,9.1,V:10.0 L:10.0 R:6.4 T:10.0,🛡️ Mature
Guj Inds. Power,GIPCL,Gujarat Industries Power Co Ltd,6.21,"2,501",2.54,29,17,0.21,0.37,0.20,0.32,9.3,V:10.0 L:7.2 R:10.0 T:10.0,🚀 Inflection
Sandesh,SANDESH,Sandesh Ltd,6.87,760,0.51,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Ruchira Papers,RUCHIRA,Ruchira Papers Ltd,7.43,328,4.53,-13,55,Negative Growth,0.14,Negative Growth+Yield,0.12,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
James Warren Tea,538564,James Warren Tea Ltd,8.07,100,0.00,9,-4,0.90,Negative Growth,0.90,Negative Growth+Yield,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Shrem InvIT,SHREMINVIT,Shrem InvIT,14.5,"6,408",13.0,186,149,0.08,0.10,0.07,0.09,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection
Clear Secured,CSSL,Clear Secured Services Ltd,16.4,250,0.00,30,N/A,0.55,N/A,0.55,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Cochin Minerals,513353,Cochin Minerals & Rutile Ltd,8.33,204,3.07,-35,14,Negative Growth,0.59,Negative Growth+Yield,0.49,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
KNR Construct.,KNRCON,KNR Constructions Ltd,32.2,"3,742",0.19,-33,-14,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Monarch Surve.,544453,Monarch Surveyors and Engineering Consultants Ltd,8.64,322,0.70,63,N/A,0.14,N/A,0.14,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
Palco Metals Ltd,539121,Palco Metals Ltd,,57.5,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
