Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Shriram AMC,531359,Shriram Asset Management Co Ltd,,N/A,-18.8,-18.9,512,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.8,-58.6,93.8,5.36,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Anjani Portland,APCL,Anjani Portland Cement Ltd,,N/A,0.14,-7.48,311,0.00,-11,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Simplex Realty,503229,Simplex Realty Ltd,,N/A,-0.15,-3.04,41.3,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
TIL,TIL,TIL Ltd,,N/A,2.88,-26.0,"1,853",0.00,20,10,N/A,N/A,N/A,N/A,5.9,V:4.0 L:7.2 R:8.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Ruparel Food,511740,Ruparel Food Products Ltd,,N/A,-3.34,-3.34,43.2,0.00,5,-11,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Available Fin.,AVAILFC,Available Finance Ltd,583,0.17%,1.65,1.17,152,0.00,2,-10,291.50,Negative Growth,291.50,Negative Growth+Yield,3.9,V:2.0 L:4.0 R:6.4 T:3.2,⚠️ Stagnant,1.8,EY:0.5 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,76.9,1.30%,5.24,3.66,210,0.61,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Rajapalayam Mill,RAJPALAYAM,Rajapalayam Mills Ltd,,N/A,4.57,-3.77,766,0.06,N/A,6,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Victoria Mills,503349,Victoria Mills Ltd,6.86,14.58%,12.4,9.70,53.5,0.93,64,37,0.11,0.19,0.11,0.18,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,8.4,EY:3.5 MoS:2.5 Cap:1.6 Div:0.8,💎 Deep Value
Northern Spirits,542628,Northern Spirits Ltd,7.40,13.51%,15.7,20.0,215,0.22,35,56,0.21,0.13,0.21,0.13,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.6,EY:3.5 MoS:2.5 Cap:2.1 Div:0.5,💎 Deep Value
