Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Artson,ARTSONENGG,Artson Ltd,,595,0.00,15,-41,N/A,N/A,N/A,N/A,5.0,V:4.0 L:5.6 R:6.4 T:4.0,🔍 Discovery
Shreyans Inds.,SHREYANIND,Shreyans Industries Ltd,,196,1.05,-56,-7,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Everest Inds.,EVERESTIND,Everest Industries Ltd,,751,0.21,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Shri Vasuprada,538092,Shri Vasuprada Plantations Ltd,,87.8,0.00,18,5,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
Dhunseri Tea,DTIL,Dhunseri Tea & Industries Ltd,98.2,153,1.42,25,N/A,3.93,N/A,3.72,N/A,5.1,V:2.0 L:4.0 R:8.4 T:6.0,🛡️ Mature
Polychem,POLYCHEM,Polychem Ltd,,81.8,0.98,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
S V Global Mill,535621,S V Global Mill Ltd,54.9,240,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery
Tips Films,TIPSFILMS,Tips Films Ltd,,154,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Chaman Metallics,CMNL,Chaman Metallics Ltd,,263,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Turtlemint Fintech,TURTLEMINT,Turtlemint Fintech Solutions Ltd,,"3,886",0.00,14,N/A,N/A,N/A,N/A,N/A,5.4,V:4.0 L:7.2 R:6.4 T:4.0,🔍 Discovery
Kabra Jewels,KKJEWELS,Kabra Jewels Ltd,4.57,113,0.00,78,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
IST,508807,IST Ltd,20.7,769,0.00,68,36,0.30,0.57,0.30,0.57,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Canara Bank,CANBK,Canara Bank,6.22,"1,20,009",3.18,23,50,0.27,0.12,0.24,0.12,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating
Zuari Industries,ZUARIIND,Zuari Industries Ltd,26.6,788,0.38,80,-18,0.33,Negative Growth,0.33,Negative Growth+Yield,8.1,V:10.0 L:5.6 R:8.4 T:8.4,🚀 Inflection
Sr.Rayala.Hypo,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,8.49,864,0.60,-10,11,Negative Growth,0.77,Negative Growth+Yield,0.73,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
B P C L,BPCL,Bharat Petroleum Corporation Ltd,9.11,"1,37,791",5.52,107,13,0.09,0.70,0.08,0.49,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
Petronet LNG,PETRONET,Petronet LNG Ltd,10.9,"41,789",3.57,6,5,1.82,2.18,1.14,1.27,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature
