Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Bagmane Prime REIT,BAGMANE,Bagmane Prime Office REIT,,"35,656",0.00,N/A,N/A,N/A,N/A,N/A,N/A
Chemkart India,544442,Chemkart India Ltd,11.0,228,0.00,38,N/A,0.29,N/A,0.29,N/A
Sattva Eng.,SATTVAENGG,Sattva Engineering Construction Ltd,11.3,147,0.00,132,N/A,0.09,N/A,0.09,N/A
Rappid Valves,RAPPID,Rappid Valves India Ltd,28.5,185,0.00,142,N/A,0.20,N/A,0.20,N/A
Windlas Biotech,WINDLAS,Windlas Biotech Ltd,27.4,"1,817",0.72,17,28,1.61,0.98,1.55,0.95
Cipla,CIPLA,Cipla Ltd,33.6,"1,15,748",0.91,10,7,3.36,4.80,3.08,4.25
ION Exchange,IONEXCHANG,Ion Exchange (India) Ltd,43.2,"6,426",0.29,-7,0,Negative Growth,Zero Growth,Negative Growth+Yield,148.97
KM Sugar Mills,KMSUGAR,KM Sugar Mills Ltd,5.28,265,0.00,30,14,0.18,0.38,0.18,0.38
Huhtamaki India,HUHTAMAKI,Huhtamaki India Ltd,14.6,"1,996",0.76,34,4,0.43,3.65,0.42,3.07
Sunita Tools Ltd,544001,Sunita Tools Ltd,87.1,567,0.00,29,89,3.00,0.98,3.00,0.98
Navneet Educat.,NAVNETEDUL,Navneet Education Ltd,17.0,"3,237",2.05,4,26,4.25,0.65,2.81,0.61
Astal Lab,512600,Astal Laboratories Ltd,43.8,356,0.00,640,282,0.07,0.16,0.07,0.16
Him Teknoforg.,505712,Him Teknoforge Ltd,21.1,266,0.19,2,19,10.55,1.11,9.63,1.10
Cravatex,509472,Cravatex Ltd,20.1,109,3.07,3,-1,6.70,Negative Growth,3.31,9.71
Godrej Propert.,GODREJPROP,Godrej Properties Ltd,461,"65,361",0.46,-37,49,Negative Growth,9.41,Negative Growth+Yield,9.32
Sanathan Textile,SANATHAN,Sanathan Textiles Ltd,20.5,"3,928",0.00,8,1,2.56,20.50,2.56,20.50
