Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
PG Foils,526747,PG Foils Ltd,,N/A,0.87,-2.47,254,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Cochin Malabar,508571,Cochin Malabar Estates & Industries Ltd,,N/A,-11.7,N/A,25.3,0.00,9,5,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Diamines & Chem.,DIAMINESQ,Diamines & Chemicals Ltd,,N/A,-7.66,-7.18,250,0.40,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Jindal Photo,JINDALPHOT,Jindal Photo Ltd,97.9,1.02%,1.80,0.63,"1,121",0.00,-71,23,Negative Growth,4.26,Negative Growth+Yield,4.26,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Shoppers Stop,SHOPERSTOP,Shoppers Stop Ltd,,N/A,6.63,-8.85,"4,389",0.00,N/A,14,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Quick Heal Tech,QUICKHEAL,Quick Heal Technologies Ltd,,N/A,-5.85,-3.70,864,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Chaman Metallics,CMNL,Chaman Metallics Ltd,,N/A,5.37,-1.81,271,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Quest Flow,543982,Quest Flow Controls Ltd,186,0.54%,4.77,1.36,192,0.00,-39,54,Negative Growth,3.44,Negative Growth+Yield,3.44,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,75.8,1.32%,5.24,3.66,207,0.60,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Dhunseri Invest.,DHUNINV,Dhunseri Investments Ltd,,N/A,-3.05,-2.44,594,0.31,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
