Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Cochin Malabar,508571,Cochin Malabar Estates & Industries Ltd,,N/A,-11.7,N/A,25.2,0.00,9,5,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Naturite Agro,538926,Naturite Agro Products Ltd,,N/A,2.08,-7.32,105,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Saumya Cons,539218,Saumya Consultants Ltd,,N/A,-5.33,-3.77,83.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Indl. Inv. Trust,IITL,Industrial Investment Trust Ltd,,N/A,-4.05,-3.27,330,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
V I P Inds.,VIPIND,V I P Industries Ltd,,N/A,-32.3,-108,"4,461",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Loyal Textile,LOYALTEX,Loyal Textile Mills Ltd,,N/A,-4.00,-31.0,105,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Naga Dhunseri,NDGL,Naga Dhunseri Group Ltd,,N/A,-3.46,-3.48,279,0.09,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Praveg,PRAVEG,Praveg Ltd,,N/A,-0.08,-2.72,696,0.38,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Swiggy,SWIGGY,Swiggy Ltd,,N/A,2.74,-20.7,"76,212",0.00,1,N/A,N/A,N/A,N/A,N/A,6.1,V:4.0 L:10.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
AG Ventures,OCCL,AG Ventures Ltd,6.27,15.95%,0.35,1.17,131,0.00,-59,-48,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.5,EY:3.5 MoS:0.2 Cap:0.6 Div:0.2,⚖️ Fair Value
