Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Ceenik Exports,CEENIKEXPO,Ceenik Exports (India) Ltd,,N/A,-18.7,-58.6,94.5,5.32,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.6,EY:0.5 MoS:1.0 Cap:0.6 Div:1.5,⚠️ Value Trap
Diamines & Chem.,DIAMINESQ,Diamines & Chemicals Ltd,,N/A,-7.66,-7.18,259,0.39,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Indl. Inv. Trust,IITL,Industrial Investment Trust Ltd,,N/A,-4.05,-3.27,307,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Shri Vasuprada,VASUPRADA,Shri Vasuprada Plantations Ltd,,N/A,-0.69,-6.47,84.5,0.00,18,5,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
SP Refractories,SPRL,SP Refractories Ltd,5.27,18.98%,28.6,24.6,18.6,0.96,79,36,0.07,0.15,0.07,0.14,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:3.5 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,77.0,1.30%,5.24,3.66,210,0.58,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Savy Infra,SAVY,Savy Infra and Logistics Ltd,6.68,14.97%,42.8,39.9,281,0.00,398,N/A,0.02,N/A,0.02,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Sandesh,SANDESH,Sandesh Ltd,7.14,14.01%,7.16,4.95,791,0.48,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,4.8,EY:3.5 MoS:0.2 Cap:0.6 Div:0.5,⚖️ Fair Value
Coal India,COALINDIA,Coal India Ltd,13.8,7.25%,85.6,84.5,"2,60,376",6.28,3,16,4.60,0.86,1.49,0.62,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant,7.3,EY:2.8 MoS:0.5 Cap:2.5 Div:1.5,🌟 Quality Value
Expleo Solutions,EXPLEOSOL,Expleo Solutions Ltd,11.1,9.01%,23.0,17.6,"1,371",12.5,-4,19,Negative Growth,0.58,1.31,0.35,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,6.6,EY:2.8 MoS:0.2 Cap:2.1 Div:1.5,🌟 Quality Value
