Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Praruh Tech,544538,Praruh Technologies Ltd,11.4,108,0.00,63,N/A,0.18,N/A,0.18,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
DDev Plastiks,DDEVPLSTIK,DDev Plastiks Industries Ltd,14.6,"2,936",0.62,25,N/A,0.58,N/A,0.57,N/A,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
The Anup Enginee,ANUP,The Anup Engineering Ltd,40.5,"4,405",0.55,28,15,1.45,2.70,1.42,2.60,8.0,V:6.4 L:7.2 R:10.0 T:8.4,📈 Accelerating
Kewal Kir.Cloth.,KKCL,Kewal Kiran Clothing Ltd,24.9,"3,298",0.75,6,47,4.15,0.53,3.69,0.52,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature
DMCC Speciality,DMCC,DMCC Speciality Chemicals Ltd,25.6,700,0.89,65,-3,0.39,Negative Growth,0.39,Negative Growth+Yield,8.5,V:10.0 L:5.6 R:10.0 T:8.4,🚀 Inflection
Chavda Infra Ltd,CHAVDA,Chavda Infra Ltd,24.8,422,0.00,12,31,2.07,0.80,2.07,0.80,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature
TGV Sraac,SREERAYALK,TGV Sraac Ltd,8.67,"1,144",0.94,-29,36,Negative Growth,0.24,Negative Growth+Yield,0.23,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Venky's (India),VENKEYS,Venkys (India) Ltd,16.2,"2,252",0.63,25,-12,0.65,Negative Growth,0.63,Negative Growth+Yield,8.5,V:8.4 L:7.2 R:8.4 T:10.0,🚀 Inflection
Relaxo Footwear,RELAXO,Relaxo Footwears Ltd,56.4,"10,112",0.74,5,-9,11.28,Negative Growth,9.83,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Ethos,ETHOSLTD,Ethos Ltd,73.4,"7,618",0.00,17,84,4.32,0.87,4.32,0.87,6.3,V:2.0 L:8.8 R:8.4 T:6.0,🛡️ Mature
Jindal Worldwide,JINDWORLD,Jindal Worldwide Ltd,58.8,"4,005",0.00,-16,18,Negative Growth,3.27,Negative Growth+Yield,3.27,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Paushak,PAUSHAKLTD,Paushak Ltd,42.8,"1,816",0.34,-13,-1,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
PVR Inox,PVRINOX,PVR Inox Ltd,38.8,"11,681",0.00,37,18,1.05,2.16,1.05,2.16,8.0,V:6.4 L:8.8 R:8.4 T:8.4,📈 Accelerating
Kolte Patil Dev.,KOLTEPATIL,Kolte Patil Developers Ltd,,"3,538",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery
Frog Innovations,FROG,Frog Innovations Ltd,,319,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
