Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
The Ravalgaon,RAVALSUGAR,The Ravalgaon Sugar Farm Ltd,,N/A,-16.7,-38.5,33.0,0.00,-10,-25,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Panyam Cement,PANYAMCEM,Panyam Cements & Mineral Industries Ltd,,N/A,1.64,N/A,88.2,0.00,-12,-38,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Kakatiya Cement,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,,N/A,-7.54,-8.52,91.2,2.56,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,3.3,EY:0.5 MoS:1.0 Cap:0.6 Div:1.2,⚠️ Value Trap
Simplex Papers,533019,Simplex Papers Ltd,,N/A,-31.9,N/A,4.13,0.00,14,-2,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Shoppers Stop,SHOPERSTOP,Shoppers Stop Ltd,,N/A,6.63,-8.85,"4,483",0.00,N/A,14,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
BirlaNu Ltd,BIRLANU,BirlaNu Ltd,25.6,3.91%,3.04,0.03,"1,133",1.00,-86,-71,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.6,EY:1.0 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
A B Real Estate,ABREL,Aditya Birla Real Estate Ltd,103,0.97%,3.66,8.07,"15,970",0.17,10,63,10.30,1.63,10.13,1.63,5.1,V:2.0 L:8.8 R:6.4 T:3.2,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Heranba Inds,HERANBA,Heranba Industries Ltd,18.6,5.38%,7.89,5.35,714,0.56,-23,-20,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.2 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Nahar Capital,NAHARCAP,Nahar Capital & Financial Services Ltd,12.6,7.94%,4.11,3.16,431,0.58,1,-1,12.60,Negative Growth,7.97,Negative Growth+Yield,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.7,EY:2.8 MoS:0.5 Cap:0.6 Div:0.8,⚖️ Fair Value
IST,ISTLTD,IST Ltd,17.8,5.62%,14.9,12.4,775,0.00,68,36,0.26,0.49,0.26,0.49,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.5,EY:2.2 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,75.9,1.32%,5.24,3.66,207,0.60,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
CSL Finance,CSLFINANCE,CSL Finance Ltd,5.89,16.98%,14.4,14.8,513,1.33,24,26,0.25,0.23,0.23,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating,8.4,EY:3.5 MoS:2.5 Cap:1.6 Div:0.8,💎 Deep Value
Star Paper Mills,STARPAPER,Star Paper Mills Ltd,7.36,13.59%,5.03,4.71,228,1.71,-24,14,Negative Growth,0.53,Negative Growth+Yield,0.47,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.5,EY:3.5 MoS:0.2 Cap:0.6 Div:1.2,⚖️ Fair Value
Par Drugs & Che.,PAR,Par Drugs & Chemicals Ltd,8.61,11.61%,16.5,12.4,125,0.00,5,5,1.72,1.72,1.72,1.72,5.2,V:4.4 L:4.0 R:6.4 T:6.0,🛡️ Mature,6.3,EY:3.5 MoS:1.0 Cap:1.6 Div:0.2,⚖️ Fair Value
GHCL,GHCL,GHCL Ltd,8.42,11.88%,17.6,13.2,"4,089",2.70,-25,8,Negative Growth,1.05,Negative Growth+Yield,0.79,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,6.5,EY:3.5 MoS:0.2 Cap:1.6 Div:1.2,🌟 Quality Value
Annapurna Swadi.,ANNAPURNA,Annapurna Swadisht Ltd,13.7,7.30%,10.4,7.45,323,0.00,48,114,0.29,0.12,0.29,0.12,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.6,EY:2.8 MoS:2.5 Cap:1.1 Div:0.2,🌟 Quality Value
Everest Kanto,EKC,Everest Kanto Cylinder Ltd,15.2,6.58%,15.8,11.4,"1,275",0.62,11,-1,1.38,Negative Growth,1.31,Negative Growth+Yield,7.5,V:6.4 L:7.2 R:6.4 T:10.0,🛡️ Mature,6.1,EY:2.2 MoS:1.5 Cap:1.6 Div:0.8,⚖️ Fair Value
