Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Bombay Oxygen,509470,Bombay Oxygen Investments Ltd,,297,0.13,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Valor Estate,DBREALTY,Valor Estate Ltd,73.0,"6,389",0.00,36,26,2.03,2.81,2.03,2.81,6.3,V:2.0 L:8.8 R:8.4 T:6.0,🛡️ Mature
Shri Vasuprada,538092,Shri Vasuprada Plantations Ltd,,84.5,0.00,18,5,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
V I P Inds.,VIPIND,V I P Industries Ltd,,"4,534",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery
Dhunseri Tea,DTIL,Dhunseri Tea & Industries Ltd,,142,1.47,25,N/A,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
Sambandam Spg.,SAMBANDAM,Sambandam Spinning Mills Ltd,,46.4,0.00,15,N/A,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery
SignatureGlobal,SIGNATURE,SignatureGlobal India Ltd,,"11,608",0.00,20,N/A,N/A,N/A,N/A,N/A,6.3,V:4.0 L:8.8 R:8.4 T:4.0,🔍 Discovery
Max Estates,MAXESTATES,Max Estates Ltd,154,"6,896",0.00,17,41,9.06,3.76,9.06,3.76,5.6,V:2.0 L:8.8 R:8.4 T:3.2,🛡️ Mature
CSL Finance,CSLFINANCE,CSL Finance Ltd,5.91,510,1.35,24,26,0.25,0.23,0.23,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating
Canara Bank,CANBK,Canara Bank,6.09,"1,17,412",3.26,23,50,0.26,0.12,0.23,0.11,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating
Punjab Natl.Bank,PNB,Punjab National Bank,6.37,"1,30,570",2.64,89,53,0.07,0.12,0.07,0.11,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
Guj Inds. Power,GIPCL,Gujarat Industries Power Co Ltd,6.35,"2,557",2.48,29,17,0.22,0.37,0.20,0.33,9.3,V:10.0 L:7.2 R:10.0 T:10.0,🚀 Inflection
Neelamalai Agro,NEAGI,Neelamalai Agro Industries Ltd,75.9,197,0.63,-11,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Rajapalayam Mill,RAJPALAYAM,Rajapalayam Mills Ltd,,772,0.06,N/A,6,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Palco Metals Ltd,539121,Palco Metals Ltd,,56.0,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Northern Spirits,542628,Northern Spirits Ltd,7.68,208,0.23,35,56,0.22,0.14,0.22,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Virtual Galaxy,VGINFOTECH,Virtual Galaxy Infotech Ltd,8.04,371,0.67,195,84,0.04,0.10,0.04,0.09,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.25,74.3,0.35,129,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Haryana Capfin,532855,Haryana Capfin Ltd,8.43,75.5,0.00,84,63,0.10,0.13,0.10,0.13,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Everest Kanto,EKC,Everest Kanto Cylinder Ltd,14.3,"1,288",0.61,11,-1,1.30,Negative Growth,1.23,Negative Growth+Yield,7.5,V:6.4 L:7.2 R:6.4 T:10.0,🛡️ Mature
RDB Rasayans,533608,RDB Rasayans Ltd,8.80,292,0.00,12,12,0.73,0.73,0.73,0.73,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Oil India,OIL,Oil India Ltd,11.4,"73,986",2.32,-13,16,Negative Growth,0.71,Negative Growth+Yield,0.62,4.7,V:0.8 L:10.0 R:2.0 T:6.0,🔻 Declining
Hind.Adhesive,514428,Hindustan Adhesives Ltd,8.07,142,0.00,54,15,0.15,0.54,0.15,0.54,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Lambodhara Text.,LAMBODHARA,Lambodhara Textiles Ltd,9.44,117,0.44,-14,1,Negative Growth,9.44,Negative Growth+Yield,6.56,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Aries Agro,ARIES,Aries Agro Ltd,11.6,445,0.35,24,11,0.48,1.05,0.48,1.02,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating
Orient Beverages,507690,Orient Beverages Ltd,7.24,41.1,0.00,47,23,0.15,0.31,0.15,0.31,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Petronet LNG,PETRONET,Petronet LNG Ltd,11.0,"42,347",3.57,6,5,1.83,2.20,1.15,1.28,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature
Suraj Estate,SURAJEST,Suraj Estate Developers Ltd,12.9,994,0.00,27,66,0.48,0.20,0.48,0.20,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Mah. Seamless,MAHSEAMLES,Maharashtra Seamless Ltd,10.8,"8,140",1.65,-3,21,Negative Growth,0.51,Negative Growth+Yield,0.48,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Puretrop Fruits,530077,Puretrop Fruits Ltd,11.6,130,0.00,-4,-4,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Dilip Buildcon,DBL,Dilip Buildcon Ltd,30.3,"7,183",0.23,28,-6,1.08,Negative Growth,1.07,Negative Growth+Yield,8.0,V:6.4 L:8.8 R:8.4 T:8.4,📈 Accelerating
Suryaamba Spinni,533101,Suryaamba Spinning Mills Ltd,11.8,36.2,0.81,-27,-6,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Lords Chloro,LORDSCHLO,Lords Chloro Alkali Ltd,12.4,408,0.00,-19,50,Negative Growth,0.25,Negative Growth+Yield,0.25,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
