Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Panyam Cement,PANYAMCEM,Panyam Cements & Mineral Industries Ltd,,N/A,1.64,N/A,90.0,0.00,-12,-38,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
BF Utilities,BFUTILITIE,BF Utilities Ltd,,N/A,3.88,1.52,"2,067",0.00,-24,28,N/A,N/A,N/A,N/A,4.3,V:4.0 L:7.2 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Simplex Papers,533019,Simplex Papers Ltd,,N/A,-31.9,N/A,3.99,0.00,14,-2,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,N/A,N/A,N/A,13.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.7,EY:0.5 MoS:1.0 Cap:1.0 Div:0.2,⚠️ Value Trap
Chaman Metallics,CMNL,Chaman Metallics Ltd,,N/A,5.37,-1.81,274,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Deccan Cements,DECCANCE,Deccan Cements Ltd,,N/A,3.31,2.43,804,0.09,-29,-31,N/A,N/A,N/A,N/A,3.9,V:4.0 L:5.6 R:2.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Concord Enviro,CEWATER,Concord Enviro Systems Ltd,131,0.76%,5.71,4.50,589,0.00,46,64,2.85,2.05,2.85,2.05,4.8,V:2.0 L:5.6 R:8.4 T:3.2,🛡️ Mature,1.8,EY:0.5 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
Positron Energy,POSITRON,Positron Energy Ltd,6.77,14.77%,29.8,22.6,136,0.00,110,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Teesta Agro Ind.,524204,Teesta Agro Industries Ltd,7.87,12.71%,8.91,6.72,65.4,0.00,4,28,1.97,0.28,1.97,0.28,5.2,V:4.4 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,5.8,EY:3.5 MoS:1.0 Cap:1.1 Div:0.2,⚖️ Fair Value
Forge Auto,FORGEAUTO,Forge Auto International Ltd,10.2,9.80%,19.2,17.0,110,0.00,30,46,0.34,0.22,0.34,0.22,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
