Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Simplex Papers,533019,Simplex Papers Ltd,,N/A,-31.9,N/A,3.94,0.00,14,-2,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,N/A,N/A,N/A,13.7,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.7,EY:0.5 MoS:1.0 Cap:1.0 Div:0.2,⚠️ Value Trap
V I P Inds.,VIPIND,V I P Industries Ltd,,N/A,-32.3,-108,"4,379",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Dhunseri Tea,DTIL,Dhunseri Tea & Industries Ltd,94.1,1.06%,0.39,-0.08,147,1.44,25,N/A,3.76,N/A,3.56,N/A,5.1,V:2.0 L:4.0 R:8.4 T:6.0,🛡️ Mature,2.4,EY:0.5 MoS:0.5 Cap:0.6 Div:0.8,⚠️ Value Trap
A B Real Estate,ABREL,Aditya Birla Real Estate Ltd,101,0.99%,3.66,8.07,"15,700",0.18,10,63,10.10,1.60,9.92,1.60,5.1,V:2.0 L:8.8 R:6.4 T:3.2,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Natural Capsules,NATCAPSUQ,Natural Capsules Ltd,12.4,8.06%,9.23,6.48,158,0.00,-16,16,Negative Growth,0.78,Negative Growth+Yield,0.78,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Praveg,PRAVEG,Praveg Ltd,,N/A,-0.08,-2.72,699,0.37,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Popular Vehicles,PVSL,Popular Vehicles & Services Ltd,,N/A,-0.15,-12.6,780,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Ruparel Food,511740,Ruparel Food Products Ltd,,N/A,-3.34,-3.34,43.0,0.00,5,-11,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Swiggy,SWIGGY,Swiggy Ltd,,N/A,2.74,-20.7,"77,770",0.00,1,N/A,N/A,N/A,N/A,N/A,6.1,V:4.0 L:10.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
