Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Nahar Capital,NAHARCAP,Nahar Capital & Financial Services Ltd,12.5,8.00%,4.11,3.16,427,0.59,1,-1,12.50,Negative Growth,7.86,Negative Growth+Yield,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.7,EY:2.8 MoS:0.5 Cap:0.6 Div:0.8,⚖️ Fair Value
Polychem,POLYCHEM,Polychem Ltd,9.45,10.58%,12.3,-0.70,78.8,1.02,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery,6.9,EY:3.5 MoS:1.0 Cap:1.6 Div:0.8,🌟 Quality Value
CSL Finance,CSLFINANCE,CSL Finance Ltd,6.00,16.67%,14.4,14.8,522,1.30,24,26,0.25,0.23,0.24,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating,8.4,EY:3.5 MoS:2.5 Cap:1.6 Div:0.8,💎 Deep Value
Punjab Natl.Bank,PNB,Punjab National Bank,6.55,15.27%,6.09,12.5,"1,34,178",2.57,89,53,0.07,0.12,0.07,0.12,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection,8.8,EY:3.5 MoS:2.5 Cap:1.6 Div:1.2,💎 Deep Value
Sandesh,SANDESH,Sandesh Ltd,7.11,14.06%,7.16,4.95,787,0.48,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,4.8,EY:3.5 MoS:0.2 Cap:0.6 Div:0.5,⚖️ Fair Value
Urban Enviro,URBAN,Urban Enviro Waste Management Ltd,8.40,11.90%,33.2,37.8,125,0.00,92,79,0.09,0.11,0.09,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Life Insurance,LICI,Life Insurance Corporation of India,8.87,11.27%,35.3,38.1,"5,31,609",2.37,16,82,0.55,0.11,0.48,0.11,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating,9.7,EY:3.5 MoS:2.5 Cap:2.5 Div:1.2,💎 Deep Value
Charter. Capital,511696,Chartered Capital & Investment Ltd,10.2,9.80%,2.35,1.60,84.2,0.00,102,43,0.10,0.24,0.10,0.24,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.1,EY:2.8 MoS:2.5 Cap:0.6 Div:0.2,⚖️ Fair Value
VVIP Infratech,544219,VVIP Infratech Ltd,13.8,7.25%,17.3,13.4,312,0.00,34,37,0.41,0.37,0.41,0.37,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.1,EY:2.8 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Muthoot Finance,MUTHOOTFIN,Muthoot Finance Ltd,11.4,8.77%,16.0,30.6,"1,21,242",0.99,43,22,0.27,0.52,0.26,0.50,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection,8.6,EY:2.8 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
Just Dial,JUSTDIAL,Just Dial Ltd,11.0,9.09%,7.01,3.38,"5,738",0.00,52,4,0.21,2.75,0.21,2.75,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection,6.1,EY:2.8 MoS:2.5 Cap:0.6 Div:0.2,⚖️ Fair Value
JM Financial,JMFINANCIL,JM Financial Ltd,21.7,4.61%,17.6,15.1,"12,273",2.53,39,32,0.56,0.68,0.52,0.63,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection,6.9,EY:1.6 MoS:2.5 Cap:1.6 Div:1.2,🌟 Quality Value
Puretrop Fruits,530077,Puretrop Fruits Ltd,11.7,8.55%,6.30,18.3,131,0.00,41,21,0.29,0.56,0.29,0.56,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.6,EY:2.8 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Bhaskar Agrochem,524534,Bhaskar Agrochemicals Ltd,12.3,8.13%,19.6,25.0,64.7,0.81,178,42,0.07,0.29,0.07,0.29,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,8.6,EY:2.8 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
DCM Shriram,DCMSHRIRAM,DCM Shriram Ltd,12.3,8.13%,11.2,11.3,"16,901",1.04,-4,5,Negative Growth,2.46,Negative Growth+Yield,2.04,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,4.9,EY:2.8 MoS:0.2 Cap:1.1 Div:0.8,⚖️ Fair Value
NCC,NCC,NCC Ltd,15.3,6.54%,15.2,8.20,"9,388",1.47,4,20,3.83,0.77,2.80,0.71,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant,5.1,EY:2.2 MoS:0.5 Cap:1.6 Div:0.8,⚖️ Fair Value
Apollo Tyres,APOLLOTYRE,Apollo Tyres Ltd,14.4,6.94%,15.7,16.7,"27,909",1.36,54,21,0.27,0.69,0.26,0.64,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection,7.7,EY:2.8 MoS:2.5 Cap:1.6 Div:0.8,🌟 Quality Value
Rulka,RULKA,Rulka Electricals Ltd,14.0,7.14%,12.4,9.20,46.0,0.00,6,44,2.33,0.32,2.33,0.32,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,5.1,EY:2.8 MoS:0.5 Cap:1.6 Div:0.2,⚖️ Fair Value
T & I Global,522294,T & I Global Ltd,14.3,6.99%,10.5,7.43,88.6,0.00,-3,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Alufluoride,ALUFLUOR,Alufluoride Ltd,14.6,6.85%,24.2,21.8,360,0.87,22,116,0.66,0.13,0.64,0.12,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,7.8,EY:2.8 MoS:2.1 Cap:2.1 Div:0.8,🌟 Quality Value
KIFS Financial,535566,KIFS Financial Services Ltd,14.8,6.76%,8.18,13.3,123,1.32,8,16,1.85,0.93,1.59,0.85,5.2,V:4.4 L:4.0 R:6.4 T:6.0,🛡️ Mature,6.2,EY:2.8 MoS:1.0 Cap:1.6 Div:0.8,⚖️ Fair Value
L G Balakrishnan,LGBBROSLTD,L G Balakrishnan & Bros Ltd,16.8,5.95%,19.9,15.2,"5,130",1.37,9,17,1.87,0.99,1.62,0.91,6.4,V:4.4 L:8.8 R:6.4 T:6.0,🛡️ Mature,6.1,EY:2.2 MoS:1.0 Cap:2.1 Div:0.8,⚖️ Fair Value
Ahm. Steelcraft,522273,Ahmedabad Steelcraft Ltd,16.2,6.17%,22.2,16.8,272,0.00,213,142,0.08,0.11,0.08,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.0,EY:2.2 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Accelya Solution,ACCELYA,Accelya Solutions India Ltd,15.2,6.58%,54.8,45.3,"1,699",3.95,1,20,15.20,0.76,3.07,0.63,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant,6.7,EY:2.2 MoS:0.5 Cap:2.5 Div:1.5,🌟 Quality Value
Megatherm Indu.,MEGATHERM,Megatherm Induction Ltd,16.9,5.92%,18.1,15.8,411,0.00,20,51,0.84,0.33,0.84,0.33,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,6.6,EY:2.2 MoS:2.1 Cap:2.1 Div:0.2,🌟 Quality Value
Nucleus Soft.,NUCLEUS,Nucleus Software Exports Ltd,17.7,5.65%,17.4,13.8,"1,953",1.69,0,2,Zero Growth,8.85,10.47,4.80,5.4,V:4.0 L:7.2 R:4.4 T:6.0,🔍 Discovery,6.0,EY:2.2 MoS:1.0 Cap:1.6 Div:1.2,⚖️ Fair Value
Bambino Agro Ind,519295,Bambino Agro Industries Ltd,18.0,5.56%,12.3,9.48,176,0.73,3,9,6.00,2.00,4.83,1.85,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,5.1,EY:2.2 MoS:0.5 Cap:1.6 Div:0.8,⚖️ Fair Value
Krsnaa Diagnost.,KRSNAA,Krsnaa Diagnostics Ltd,18.4,5.43%,12.7,10.9,"1,823",0.36,17,-11,1.08,Negative Growth,1.06,Negative Growth+Yield,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating,5.8,EY:2.2 MoS:1.5 Cap:1.6 Div:0.5,⚖️ Fair Value
Kataria Indust.,KATARIA,Kataria Industries Ltd,18.4,5.43%,12.9,10.5,223,0.00,20,24,0.92,0.77,0.92,0.77,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,6.1,EY:2.2 MoS:2.1 Cap:1.6 Div:0.2,⚖️ Fair Value
Creative Graphic,CGRAPHICS,Creative Graphics Solutions India Ltd,26.7,3.75%,14.0,12.6,357,0.00,16,42,1.67,0.64,1.67,0.64,5.7,V:4.4 L:4.0 R:8.4 T:6.0,🛡️ Mature,3.8,EY:1.0 MoS:1.0 Cap:1.6 Div:0.2,⚠️ Value Trap
Suryaamba Spinni,533101,Suryaamba Spinning Mills Ltd,19.1,5.24%,8.20,4.77,36.6,0.80,-27,-6,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.2 MoS:0.2 Cap:1.1 Div:0.8,⚠️ Value Trap
Escorp Asset Mgt,540455,Escorp Asset Management Ltd,19.3,5.18%,5.36,4.37,122,0.00,19,N/A,1.02,N/A,1.02,N/A,7.2,V:6.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,4.5,EY:2.2 MoS:1.5 Cap:0.6 Div:0.2,⚖️ Fair Value
Kotak Mah. Bank,KOTAKBANK,Kotak Mahindra Bank Ltd,26.9,3.72%,6.28,11.1,"3,99,535",0.16,9,15,2.99,1.79,2.94,1.77,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature,3.1,EY:1.0 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Aryaman Capital,538716,Aryaman Capital Markets Ltd,20.9,4.78%,31.9,30.0,514,0.00,165,157,0.13,0.13,0.13,0.13,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.8,EY:1.6 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Parag Milk Foods,PARAGMILK,Parag Milk Foods Ltd,18.9,5.29%,13.9,13.4,"2,829",0.44,32,55,0.59,0.34,0.58,0.34,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection,6.8,EY:2.2 MoS:2.5 Cap:1.6 Div:0.5,🌟 Quality Value
Exim Routes,EXIMROUTES,Exim Routes Ltd,48.0,2.08%,16.3,12.3,215,0.00,146,146,0.33,0.33,0.33,0.33,7.7,V:10.0 L:4.0 R:8.4 T:8.4,🚀 Inflection,4.8,EY:0.5 MoS:2.5 Cap:1.6 Div:0.2,⚖️ Fair Value
Prostarm Info,PROSTARM,Prostarm Info Systems Ltd,21.3,4.69%,17.9,16.6,815,0.00,19,34,1.12,0.63,1.12,0.63,7.6,V:6.4 L:5.6 R:8.4 T:10.0,📈 Accelerating,4.9,EY:1.6 MoS:1.5 Cap:1.6 Div:0.2,⚖️ Fair Value
Logica Infoway,543746,Logica Infoway Ltd,21.5,4.65%,13.6,14.9,304,0.00,59,43,0.36,0.50,0.36,0.50,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,5.9,EY:1.6 MoS:2.5 Cap:1.6 Div:0.2,⚖️ Fair Value
MRF,MRF,MRF Ltd,23.5,4.26%,16.4,12.4,"56,280",0.18,52,14,0.45,1.68,0.45,1.66,9.6,V:10.0 L:10.0 R:8.4 T:10.0,🚀 Inflection,6.2,EY:1.6 MoS:2.5 Cap:1.6 Div:0.5,⚖️ Fair Value
Shiva Texyarn,SHIVATEX,Shiva Texyarn Ltd,23.4,4.27%,12.7,8.93,215,0.36,39,5,0.60,4.68,0.59,4.37,7.7,V:8.4 L:4.0 R:8.4 T:10.0,🚀 Inflection,5.8,EY:1.6 MoS:2.1 Cap:1.6 Div:0.5,⚖️ Fair Value
Krishca Strapp.,KRISHCA,Krishca Strapping Solutions Ltd,23.6,4.24%,12.9,10.1,274,0.00,8,81,2.95,0.29,2.95,0.29,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,3.9,EY:1.6 MoS:0.5 Cap:1.6 Div:0.2,⚠️ Value Trap
LTM,LTM,LTM Ltd,25.4,3.94%,30.4,23.8,"1,33,472",1.67,8,26,3.17,0.98,2.63,0.92,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature,5.2,EY:1.0 MoS:0.5 Cap:2.5 Div:1.2,⚖️ Fair Value
Chemcon Special.,CHEMCON,Chemcon Speciality Chemicals Ltd,24.1,4.15%,6.42,4.80,678,3.50,-24,-16,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,3.9,EY:1.6 MoS:0.2 Cap:0.6 Div:1.5,⚠️ Value Trap
Canara Robeco,CRAMC,Canara Robeco Asset Management Company Ltd,24.2,4.13%,40.1,30.3,"5,284",1.51,37,41,0.65,0.59,0.63,0.57,9.3,V:8.4 L:8.8 R:10.0 T:10.0,🚀 Inflection,7.4,EY:1.6 MoS:2.1 Cap:2.5 Div:1.2,🌟 Quality Value
Aryaman Fin.Serv,ARYAMAN,Aryaman Financial Services Ltd,98.0,1.02%,17.2,12.9,741,0.00,54,64,1.81,1.53,1.81,1.53,6.1,V:4.4 L:5.6 R:8.4 T:6.0,🛡️ Mature,3.3,EY:0.5 MoS:1.0 Cap:1.6 Div:0.2,⚠️ Value Trap
Kansai Nerolac,KANSAINER,Kansai Nerolac Paints Ltd,24.6,4.07%,12.6,9.29,"16,662",1.21,8,3,3.08,8.20,2.67,5.84,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,4.5,EY:1.6 MoS:0.5 Cap:1.6 Div:0.8,⚖️ Fair Value
Bombay Cycle,501430,Bombay Cycle & Motor Agency Ltd,25.9,3.86%,9.19,7.02,64.4,0.31,0,6,Zero Growth,4.32,83.55,4.10,4.6,V:4.0 L:4.0 R:4.4 T:6.0,🔍 Discovery,3.6,EY:1.0 MoS:1.0 Cap:1.1 Div:0.5,⚠️ Value Trap
Keynote Finan.,KEYFINSERV,Keynote Financial Services Ltd,63.9,1.56%,-1.88,-1.91,151,0.38,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Holmarc Opto,HOLMARC,Holmarc Opto-Mechatronics Ltd,26.4,3.79%,18.1,14.1,108,0.37,11,42,2.40,0.63,2.32,0.62,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,4.1,EY:1.0 MoS:0.5 Cap:2.1 Div:0.5,⚠️ Value Trap
Workmates Core2,544610,Workmates Core2cloud Solution Ltd,27.0,3.70%,37.2,29.3,443,0.58,103,109,0.26,0.25,0.26,0.25,8.1,V:10.0 L:4.0 R:10.0 T:8.4,🚀 Inflection,6.8,EY:1.0 MoS:2.5 Cap:2.5 Div:0.8,🌟 Quality Value
Medi Assist Ser.,MEDIASSIST,Medi Assist Healthcare Services Ltd,47.1,2.12%,20.4,14.5,"2,692",0.55,48,11,0.98,4.28,0.97,4.08,8.5,V:8.4 L:7.2 R:10.0 T:8.4,🚀 Inflection,5.5,EY:0.5 MoS:2.1 Cap:2.1 Div:0.8,⚖️ Fair Value
Vinati Organics,VINATIORGA,Vinati Organics Ltd,27.6,3.62%,21.3,16.2,"13,773",0.56,5,13,5.52,2.12,4.96,2.04,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,4.4,EY:1.0 MoS:0.5 Cap:2.1 Div:0.8,⚠️ Value Trap
Trejhara Solutio,TREJHARA,Trejhara Solutions Ltd,41.8,2.39%,3.91,3.44,373,0.00,0,21,Zero Growth,1.99,Zero Growth+Yield,1.99,4.6,V:4.0 L:4.0 R:4.4 T:6.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Heidelberg Cem.,HEIDELBERG,HeidelbergCement India Ltd,29.6,3.38%,14.7,10.1,"3,603",4.40,12,-15,2.47,Negative Growth,1.80,Negative Growth+Yield,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature,4.6,EY:1.0 MoS:0.5 Cap:1.6 Div:1.5,⚖️ Fair Value
Dalmia BharatLtd,DALBHARAT,Dalmia Bharat Ltd,264,0.38%,2.07,1.75,"35,259",0.48,-11,42,Negative Growth,6.29,Negative Growth+Yield,6.21,4.0,V:0.8 L:10.0 R:2.0 T:3.2,🔻 Declining,1.8,EY:0.5 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
Kratikal Tech,544811,Kratikal Tech Ltd,46.3,2.16%,40.4,25.4,197,0.00,422,88,0.11,0.53,0.11,0.53,7.7,V:10.0 L:4.0 R:8.4 T:8.4,🚀 Inflection,5.7,EY:0.5 MoS:2.5 Cap:2.5 Div:0.2,⚖️ Fair Value
Go Fashion (I),GOCOLORS,Go Fashion (India) Ltd,34.0,2.94%,10.8,8.52,"1,819",0.00,-10,78,Negative Growth,0.44,Negative Growth+Yield,0.44,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.5,EY:1.0 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Chalet Hotels,CHALET,Chalet Hotels Ltd,34.0,2.94%,17.8,19.5,"18,846",0.12,60,51,0.57,0.67,0.57,0.67,8.9,V:10.0 L:8.8 R:8.4 T:8.4,🚀 Inflection,6.1,EY:1.0 MoS:2.5 Cap:2.1 Div:0.5,⚖️ Fair Value
Naperol Invest.,NATPEROXID,Naperol Investments Ltd,35.7,2.80%,1.07,1.03,385,2.91,260,-21,0.14,Negative Growth,0.14,Negative Growth+Yield,8.1,V:10.0 L:4.0 R:10.0 T:8.4,🚀 Inflection,5.3,EY:1.0 MoS:2.5 Cap:0.6 Div:1.2,⚖️ Fair Value
JSW Dulux,JSWDULUX,JSW Dulux Ltd,37.0,2.70%,23.0,19.3,"14,203",1.60,2,11,18.50,3.36,10.28,2.94,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant,4.8,EY:1.0 MoS:0.5 Cap:2.1 Div:1.2,⚖️ Fair Value
HDFC AMC,HDFCAMC,HDFC Asset Management Company Ltd,38.1,2.62%,42.9,32.9,"1,12,514",2.07,26,17,1.47,2.24,1.36,2.00,8.7,V:6.4 L:10.0 R:10.0 T:8.4,📈 Accelerating,6.2,EY:1.0 MoS:1.5 Cap:2.5 Div:1.2,⚖️ Fair Value
NOCIL,NOCIL,NOCIL Ltd,35.6,2.81%,4.37,3.09,"2,791",0.90,-28,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.6,EY:1.0 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Arvee Laborat.,ARVEE,Arvee Laboratories (India) Ltd,45.1,2.22%,7.92,7.78,183,0.00,-15,0,Negative Growth,Zero Growth,Negative Growth+Yield,Zero Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Campus Activewe.,CAMPUS,Campus Activewear Ltd,45.3,2.21%,21.2,18.0,"6,979",0.66,9,41,5.03,1.10,4.69,1.09,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,3.9,EY:0.5 MoS:0.5 Cap:2.1 Div:0.8,⚠️ Value Trap
Marsons,MARSONS,Marsons Ltd,46.3,2.16%,25.4,27.2,"2,048",0.04,160,87,0.29,0.53,0.29,0.53,8.5,V:10.0 L:7.2 R:8.4 T:8.4,🚀 Inflection,6.0,EY:0.5 MoS:2.5 Cap:2.5 Div:0.5,⚖️ Fair Value
ICICI Pru Life,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,44.3,2.26%,8.38,10.0,"74,568",0.32,25,11,1.77,4.03,1.75,3.91,7.2,V:4.4 L:10.0 R:8.4 T:6.0,🛡️ Mature,3.1,EY:0.5 MoS:1.0 Cap:1.1 Div:0.5,⚠️ Value Trap
Bharat Electron,BEL,Bharat Electronics Ltd,49.5,2.02%,37.0,27.8,"3,03,143",0.60,26,24,1.90,2.06,1.86,2.01,7.6,V:4.4 L:10.0 R:10.0 T:6.0,🛡️ Mature,4.8,EY:0.5 MoS:1.0 Cap:2.5 Div:0.8,⚖️ Fair Value
Nalwa Sons Invst,NSIL,Nalwa Sons Investments Ltd,61.2,1.63%,0.40,0.30,"2,877",0.00,-17,7,Negative Growth,8.74,Negative Growth+Yield,8.74,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Jagatjit Inds.,JAGAJITIND,Jagatjit Industries Ltd,59.7,1.68%,10.6,17.6,703,0.00,12,17,4.98,3.51,4.98,3.51,5.0,V:2.0 L:5.6 R:6.4 T:6.0,🛡️ Mature,2.8,EY:0.5 MoS:0.5 Cap:1.6 Div:0.2,⚠️ Value Trap
C D S L,CDSL,Central Depository Services (India) Ltd,63.0,1.59%,40.4,31.3,"29,028",0.92,20,24,3.15,2.62,3.01,2.53,6.6,V:2.0 L:10.0 R:8.4 T:6.0,🛡️ Mature,4.3,EY:0.5 MoS:0.5 Cap:2.5 Div:0.8,⚠️ Value Trap
Aveer Foods,543737,Aveer Foods Ltd,67.8,1.47%,15.1,10.1,268,0.04,57,80,1.19,0.85,1.19,0.85,6.2,V:6.4 L:4.0 R:8.4 T:6.0,📈 Accelerating,4.1,EY:0.5 MoS:1.5 Cap:1.6 Div:0.5,⚠️ Value Trap
Astral,ASTRAL,Astral Ltd,61.7,1.62%,21.9,15.6,"40,982",0.26,11,12,5.61,5.14,5.48,5.03,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature,3.6,EY:0.5 MoS:0.5 Cap:2.1 Div:0.5,⚠️ Value Trap
Mamata Machinery,MAMATA,Mamata Machinery Ltd,107,0.93%,9.74,6.95,"1,036",0.12,5,0,21.40,Zero Growth,20.90,891.67,4.7,V:2.0 L:7.2 R:6.4 T:3.2,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Wendt India,WENDT,Wendt India Ltd,63.3,1.58%,11.9,7.97,"1,634",0.37,-23,7,Negative Growth,9.04,Negative Growth+Yield,8.59,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.3,EY:0.5 MoS:0.2 Cap:1.1 Div:0.5,⚠️ Value Trap
Rel. Indl. Infra,RIIL,Reliance Industrial Infrastructure Ltd,115,0.87%,3.33,2.44,"1,189",0.45,4,6,28.75,19.17,25.84,17.83,4.7,V:2.0 L:7.2 R:6.4 T:3.2,⚠️ Stagnant,2.1,EY:0.5 MoS:0.5 Cap:0.6 Div:0.5,⚠️ Value Trap
Pine Labs,PINELABS,Pine Labs Ltd,108,0.93%,5.21,3.60,"18,080",0.00,66,35,1.64,3.09,1.64,3.09,6.2,V:4.4 L:8.8 R:8.4 T:3.2,🛡️ Mature,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
