Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Artson,ARTSONENGG,Artson Ltd,,596,0.00,15,-41,N/A,N/A,N/A,N/A,5.0,V:4.0 L:5.6 R:6.4 T:4.0,🔍 Discovery
Global Vectra,GLOBALVECT,Global Vectra Helicorp Ltd,,228,0.00,-13,-13,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Hind.Appliances,531918,Hindustan Appliances Ltd,,112,0.00,0,N/A,N/A,N/A,N/A,N/A,4.1,V:4.0 L:4.0 R:4.4 T:4.0,🔍 Discovery
Ucal,UCAL,Ucal Ltd,58.4,264,0.00,-19,-34,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Dhunseri Tea,DTIL,Dhunseri Tea & Industries Ltd,,144,1.44,25,N/A,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
S V Global Mill,535621,S V Global Mill Ltd,54.9,240,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery
Max India Ltd,MAXIND,Max India Ltd,,958,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Sai Capital,531931,Sai Capital Ltd,,44.4,0.00,-9,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
IST,508807,IST Ltd,20.8,771,0.00,68,36,0.31,0.58,0.31,0.58,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Punjab Natl.Bank,PNB,Punjab National Bank,6.40,"1,31,112",2.63,89,53,0.07,0.12,0.07,0.12,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
CSL Finance,CSLFINANCE,CSL Finance Ltd,5.96,514,1.34,24,26,0.25,0.23,0.24,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating
Manoj Vaibhav,MVGJL,Manoj Vaibhav Gems N Jewellers Ltd,6.64,799,0.00,17,32,0.39,0.21,0.39,0.21,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating
Maithan Alloys,MAITHANALL,Maithan Alloys Ltd,6.82,"2,922",1.09,-1,14,Negative Growth,0.49,75.78,0.45,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Ceejay Finance,530789,Ceejay Finance Ltd,7.84,60.6,0.68,4,12,1.96,0.65,1.68,0.62,5.2,V:4.4 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
Abans Financial,AFSL,Abans Financial Services Ltd,64.5,"1,064",0.00,64,99,1.01,0.65,1.01,0.65,7.0,V:6.4 L:7.2 R:8.4 T:6.0,📈 Accelerating
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.46,76.2,0.35,129,N/A,0.07,N/A,0.07,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Sr.Rayala.Hypo,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,8.34,858,0.60,-10,11,Negative Growth,0.76,Negative Growth+Yield,0.72,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Everest Kanto,EKC,Everest Kanto Cylinder Ltd,14.2,"1,274",0.62,11,-1,1.29,Negative Growth,1.22,Negative Growth+Yield,7.5,V:6.4 L:7.2 R:6.4 T:10.0,🛡️ Mature
Lambodhara Text.,LAMBODHARA,Lambodhara Textiles Ltd,9.62,120,0.44,-14,1,Negative Growth,9.62,Negative Growth+Yield,6.68,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Organic Recyclin,543997,Organic Recycling Systems Ltd,62.2,250,0.00,-5,10,Negative Growth,6.22,Negative Growth+Yield,6.22,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Charter. Capital,511696,Chartered Capital & Investment Ltd,10.0,82.8,0.00,102,43,0.10,0.23,0.10,0.23,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Aries Agro,ARIES,Aries Agro Ltd,12.1,463,0.34,24,11,0.50,1.10,0.50,1.07,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating
Suraj Estate,SURAJEST,Suraj Estate Developers Ltd,13.0,"1,002",0.00,27,66,0.48,0.20,0.48,0.20,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
Shilp Gravures,513709,Shilp Gravures Ltd,9.44,96.0,1.35,13,3,0.73,3.15,0.66,2.17,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Puretrop Fruits,530077,Puretrop Fruits Ltd,11.4,128,0.00,-4,-4,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Kamat Hotels,KAMATHOTEL,Kamat Hotels (India) Ltd,12.1,522,0.00,-15,27,Negative Growth,0.45,Negative Growth+Yield,0.45,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Mastek,MASTEK,Mastek Ltd,26.6,"5,619",0.44,40,68,0.67,0.39,0.66,0.39,8.5,V:8.4 L:8.8 R:8.4 T:8.4,🚀 Inflection
Vraj Iron,VRAJ,Vraj Iron & Steel Ltd,14.0,415,0.00,-17,25,Negative Growth,0.56,Negative Growth+Yield,0.56,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
FlySBS Aviation,FLYSBS,FlySBS Aviation Ltd,13.1,798,0.00,160,109,0.08,0.12,0.08,0.12,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Wipro,WIPRO,Wipro Ltd,16.2,"1,83,329",5.96,10,4,1.62,4.05,1.02,1.63,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature
Arkade,ARKADE,Arkade Developers Ltd,14.0,"2,491",0.75,50,56,0.28,0.25,0.28,0.25,9.3,V:10.0 L:7.2 R:10.0 T:10.0,🚀 Inflection
Revathi Equip,RVTH,Revathi Equipment India Ltd,16.0,219,0.00,1,3,16.00,5.33,16.00,5.33,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
National Plastic,531287,National Plastic Technologies Ltd,14.3,139,0.66,15,47,0.95,0.30,0.91,0.30,7.2,V:8.4 L:4.0 R:6.4 T:10.0,📈 Accelerating
Seshasayee Paper,SESHAPAPER,Seshasayee Paper & Boards Ltd,17.5,"1,475",0.86,-44,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Sharda Motor,SHARDAMOTR,Sharda Motor Industries Ltd,15.2,"5,027",1.85,18,34,0.84,0.45,0.77,0.42,8.9,V:8.4 L:8.8 R:8.4 T:10.0,📈 Accelerating
Birlasoft Ltd,BSOFT,Birlasoft Ltd,20.2,"8,954",2.03,18,11,1.12,1.84,1.01,1.55,8.4,V:6.4 L:8.8 R:8.4 T:10.0,📈 Accelerating
Mahanagar Gas,MGL,Mahanagar Gas Ltd,15.5,"11,203",2.64,-1,4,Negative Growth,3.88,9.45,2.33,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Jasch Gauging,544112,Jasch Gauging Technologies Ltd,15.9,240,1.89,-4,N/A,Negative Growth,N/A,Negative Growth+Yield,N/A,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
