Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Coforge,COFORGE,Coforge Ltd,56.9,"76,264",0.70,25,45,2.28,1.26,2.21,1.25
Sri Lotus,LOTUSDEV,Sri Lotus Developers & Realty Ltd,97.3,"9,777",0.00,290,N/A,0.34,N/A,0.34,N/A
Patel Retail,PATELRMART,Patel Retail Ltd,19.2,751,0.00,34,28,0.56,0.69,0.56,0.69
Panchmahal Steel,PANCHMSTEL,Panchmahal Steel Ltd,,573,1.00,N/A,N/A,N/A,N/A,N/A,N/A
Nitiraj Engineer,NITIRAJ,Nitiraj Engineers Ltd,209,221,0.70,N/A,-22,N/A,Negative Growth,N/A,Negative Growth+Yield
India Cements,INDIACEM,India Cements Ltd,102,"12,339",0.00,29,-25,3.52,Negative Growth,3.52,Negative Growth+Yield
63 Moons Tech.,63MOONS,63 Moons Technologies Ltd,63.1,"4,293",0.13,6,42,10.52,1.50,10.29,1.50
