Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Shriram AMC,531359,Shriram Asset Management Co Ltd,,N/A,-18.8,-18.9,496,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,N/A,N/A,N/A,13.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.7,EY:0.5 MoS:1.0 Cap:1.0 Div:0.2,⚠️ Value Trap
TIL,TIL,TIL Ltd,,N/A,2.88,-26.0,"1,858",0.00,20,10,N/A,N/A,N/A,N/A,5.9,V:4.0 L:7.2 R:8.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Bajaj Electrical,BAJAJELEC,Bajaj Electricals Ltd,,N/A,3.94,0.10,"4,102",0.84,-81,-61,N/A,N/A,N/A,N/A,4.3,V:4.0 L:7.2 R:2.0 T:4.0,🔍 Discovery,2.9,EY:0.5 MoS:1.0 Cap:0.6 Div:0.8,⚠️ Value Trap
Swiggy,SWIGGY,Swiggy Ltd,,N/A,2.74,-20.7,"75,796",0.00,1,N/A,N/A,N/A,N/A,N/A,6.1,V:4.0 L:10.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Sai Capital,SAICAPI,Sai Capital Ltd,,N/A,-129,N/A,43.6,0.00,-9,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Nahar Capital,NAHARCAP,Nahar Capital & Financial Services Ltd,12.4,8.06%,4.11,3.16,423,0.58,1,-1,12.40,Negative Growth,7.85,Negative Growth+Yield,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.7,EY:2.8 MoS:0.5 Cap:0.6 Div:0.8,⚖️ Fair Value
Zuari Industries,ZUARIIND,Zuari Industries Ltd,24.1,4.15%,3.48,0.82,772,0.38,80,-18,0.30,Negative Growth,0.30,Negative Growth+Yield,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,5.2,EY:1.6 MoS:2.5 Cap:0.6 Div:0.5,⚖️ Fair Value
Northern Spirits,542628,Northern Spirits Ltd,7.27,13.76%,15.7,20.0,211,0.23,35,56,0.21,0.13,0.21,0.13,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.6,EY:3.5 MoS:2.5 Cap:2.1 Div:0.5,💎 Deep Value
Paul Merchants,PML,Paul Merchants Ltd,12.4,8.06%,3.63,2.71,157,0.00,-20,1,Negative Growth,12.40,Negative Growth+Yield,12.40,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.8 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Shrem InvIT,SHREMINVIT,Shrem InvIT,14.1,7.09%,7.39,7.10,"6,231",2.94,186,149,0.08,0.09,0.07,0.09,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection,7.1,EY:2.8 MoS:2.5 Cap:0.6 Div:1.2,🌟 Quality Value
Virtual Galaxy,VGINFOTECH,Virtual Galaxy Infotech Ltd,8.14,12.29%,33.7,29.6,375,0.66,195,84,0.04,0.10,0.04,0.10,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:3.5 MoS:2.5 Cap:2.5 Div:0.8,💎 Deep Value
Urban Enviro,URBAN,Urban Enviro Waste Management Ltd,8.33,12.00%,33.2,37.8,124,0.00,92,79,0.09,0.11,0.09,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Niraj Ispat Ind.,NIRAJISPAT,Niraj Ispat Industries Ltd,8.37,11.95%,11.3,10.7,12.7,0.00,-1,36,Negative Growth,0.23,Negative Growth+Yield,0.23,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.0,EY:3.5 MoS:0.2 Cap:1.1 Div:0.2,⚖️ Fair Value
Orient Beverages,507690,Orient Beverages Ltd,6.78,14.75%,13.5,23.6,41.0,0.00,47,23,0.14,0.29,0.14,0.29,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.3,EY:3.5 MoS:2.5 Cap:2.1 Div:0.2,💎 Deep Value
Organic Recyclin,543997,Organic Recycling Systems Ltd,61.9,1.62%,2.52,2.14,249,0.00,-5,10,Negative Growth,6.19,Negative Growth+Yield,6.19,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Petronet LNG,PETRONET,Petronet LNG Ltd,10.4,9.62%,23.4,18.7,"42,831",3.49,6,5,1.73,2.08,1.10,1.22,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature,7.4,EY:2.8 MoS:1.0 Cap:2.1 Div:1.5,🌟 Quality Value
Monte Carlo Fas.,MONTECARLO,Monte Carlo Fashions Ltd,10.8,9.26%,13.9,12.8,"1,129",3.68,-6,11,Negative Growth,0.98,Negative Growth+Yield,0.74,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,6.1,EY:2.8 MoS:0.2 Cap:1.6 Div:1.5,⚖️ Fair Value
Just Dial,JUSTDIAL,Just Dial Ltd,10.8,9.26%,7.01,3.38,"5,626",0.00,52,4,0.21,2.70,0.21,2.70,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection,6.1,EY:2.8 MoS:2.5 Cap:0.6 Div:0.2,⚖️ Fair Value
Alpex Solar,ALPEXSOLAR,Alpex Solar Ltd,11.1,9.01%,43.8,52.4,"2,226",0.00,279,138,0.04,0.08,0.04,0.08,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Puretrop Fruits,530077,Puretrop Fruits Ltd,11.6,8.62%,8.02,5.80,130,0.00,-4,-4,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Hind.Tin Works,HINDTINWRK,Hindustan Tin Works Ltd,12.2,8.20%,7.27,3.79,114,0.68,-20,-11,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.4,EY:2.8 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
B & A Packaging,523186,B & A Packaging India Ltd,12.5,8.00%,11.0,8.24,97.0,0.51,-6,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.9,EY:2.8 MoS:0.2 Cap:1.1 Div:0.8,⚖️ Fair Value
KSE,KSE,KSE Ltd,13.8,7.25%,33.6,25.9,636,6.29,191,-5,0.07,Negative Growth,0.07,10.70,8.9,V:10.0 L:5.6 R:10.0 T:10.0,🚀 Inflection,9.3,EY:2.8 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
Voith Paper,VOITHPAPR,Voith Paper Fabrics India Ltd,14.2,7.04%,14.9,11.1,639,0.67,12,11,1.18,1.29,1.12,1.22,7.1,V:6.4 L:5.6 R:6.4 T:10.0,🛡️ Mature,6.7,EY:2.8 MoS:1.5 Cap:1.6 Div:0.8,🌟 Quality Value
Uday Jewellery,UDAYJEW,Uday Jewellery Industries Ltd,14.7,6.80%,22.4,22.8,491,0.34,56,44,0.26,0.33,0.26,0.33,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.9,EY:2.8 MoS:2.5 Cap:2.1 Div:0.5,🌟 Quality Value
Revathi Equip,RVTH,Revathi Equipment India Ltd,17.1,5.85%,14.4,10.2,234,0.00,1,3,17.10,5.70,17.10,5.70,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,4.5,EY:2.2 MoS:0.5 Cap:1.6 Div:0.2,⚖️ Fair Value
Karbonsteel Eng.,544511,Karbonsteel Engineering Ltd,15.4,6.49%,19.3,12.0,162,0.00,27,58,0.57,0.27,0.57,0.27,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.0,EY:2.2 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Connplex Cinemas,CONNPLEX,Connplex Cinemas Ltd,15.4,6.49%,43.6,32.8,402,0.00,151,N/A,0.10,N/A,0.10,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.4,EY:2.2 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Saksoft,SAKSOFT,Saksoft Ltd,26.4,3.79%,27.8,21.2,"2,214",0.60,41,33,0.64,0.80,0.63,0.79,8.5,V:8.4 L:7.2 R:10.0 T:8.4,🚀 Inflection,6.4,EY:1.0 MoS:2.1 Cap:2.5 Div:0.8,⚖️ Fair Value
G G Automotive,531399,G G Automotive Gears Ltd,16.9,5.92%,20.4,21.2,162,0.00,79,46,0.21,0.37,0.21,0.37,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.0,EY:2.2 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Transpek Inds.,TRANSPEK,Transpek Industry Ltd,16.9,5.92%,8.24,6.04,659,1.77,-19,15,Negative Growth,1.13,Negative Growth+Yield,1.01,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,4.7,EY:2.2 MoS:0.2 Cap:1.1 Div:1.2,⚖️ Fair Value
EID Parry,EIDPARRY,EID Parry (India) Ltd,,N/A,4.44,-0.36,"13,896",0.00,N/A,N/A,N/A,N/A,N/A,N/A,5.2,V:4.0 L:8.8 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Sonata Software,SONATSOFTW,Sonata Software Ltd,27.0,3.70%,42.7,36.9,"8,687",2.55,11,11,2.45,2.45,1.99,1.99,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,5.2,EY:1.0 MoS:0.5 Cap:2.5 Div:1.2,⚖️ Fair Value
Flywings Simula.,FWSTC,Flywings Simulator Training Centre Ltd,17.3,5.78%,20.1,17.4,193,0.00,39,N/A,0.44,N/A,0.44,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.0,EY:2.2 MoS:2.5 Cap:2.1 Div:0.2,🌟 Quality Value
Kataria Indust.,KATARIA,Kataria Industries Ltd,18.3,5.46%,12.9,10.5,222,0.00,20,24,0.92,0.76,0.92,0.76,7.7,V:8.4 L:4.0 R:8.4 T:10.0,📈 Accelerating,6.1,EY:2.2 MoS:2.1 Cap:1.6 Div:0.2,⚖️ Fair Value
