Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Hexa Tradex,HEXATRADEX,Hexa Tradex Ltd,,N/A,-0.05,-0.08,906,0.00,-2,N/A,N/A,N/A,N/A,N/A,3.9,V:4.0 L:5.6 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,N/A,N/A,N/A,13.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.7,EY:0.5 MoS:1.0 Cap:1.0 Div:0.2,⚠️ Value Trap
Transworld Shipp,TRANSWORLD,Transworld Shipping Lines Ltd,,N/A,-4.46,-9.48,362,0.91,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.9,EY:0.5 MoS:1.0 Cap:0.6 Div:0.8,⚠️ Value Trap
S V Global Mill,SVGLOBAL,S V Global Mill Ltd,59.8,1.67%,-4.30,-17.1,262,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Swiggy,SWIGGY,Swiggy Ltd,,N/A,2.74,-20.7,"75,218",0.00,1,N/A,N/A,N/A,N/A,N/A,6.1,V:4.0 L:10.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Savy Infra,SAVY,Savy Infra and Logistics Ltd,6.39,15.65%,42.8,39.9,268,0.00,398,N/A,0.02,N/A,0.02,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.7,EY:3.5 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Northern Spirits,542628,Northern Spirits Ltd,7.55,13.25%,15.7,20.0,219,0.22,35,56,0.22,0.13,0.21,0.13,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.6,EY:3.5 MoS:2.5 Cap:2.1 Div:0.5,💎 Deep Value
Garg Furnace,530615,Garg Furnace Ltd,8.13,12.30%,12.8,12.8,87.2,0.00,20,53,0.41,0.15,0.41,0.15,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating,7.8,EY:3.5 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.63,11.59%,26.0,20.8,77.8,0.34,129,N/A,0.07,N/A,0.07,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,9.0,EY:3.5 MoS:2.5 Cap:2.5 Div:0.5,💎 Deep Value
G S F C,GSFC,Gujarat State Fertilizers & Chemicals Ltd,9.59,10.43%,7.06,5.40,"6,451",3.09,-20,11,Negative Growth,0.87,Negative Growth+Yield,0.68,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,5.8,EY:3.5 MoS:0.2 Cap:0.6 Div:1.5,⚖️ Fair Value
Charter. Capital,511696,Chartered Capital & Investment Ltd,9.82,10.18%,2.35,1.60,81.1,0.00,102,43,0.10,0.23,0.10,0.23,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.8,EY:3.5 MoS:2.5 Cap:0.6 Div:0.2,🌟 Quality Value
J Kumar Infra,JKIL,J Kumar Infraprojects Ltd,9.83,10.17%,18.3,12.3,"3,814",0.79,13,44,0.76,0.22,0.71,0.22,8.0,V:8.4 L:7.2 R:6.4 T:10.0,🛡️ Mature,8.5,EY:3.5 MoS:2.1 Cap:2.1 Div:0.8,💎 Deep Value
Organic Recyclin,543997,Organic Recycling Systems Ltd,61.8,1.62%,2.52,2.14,249,0.00,-5,10,Negative Growth,6.18,Negative Growth+Yield,6.18,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,1.5,EY:0.5 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
Petronet LNG,PETRONET,Petronet LNG Ltd,10.5,9.52%,23.4,18.7,"43,397",3.47,6,5,1.75,2.10,1.11,1.24,6.7,V:4.4 L:10.0 R:6.4 T:6.0,🛡️ Mature,7.4,EY:2.8 MoS:1.0 Cap:2.1 Div:1.5,🌟 Quality Value
Just Dial,JUSTDIAL,Just Dial Ltd,10.8,9.26%,7.01,3.38,"5,610",0.00,52,4,0.21,2.70,0.21,2.70,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection,6.1,EY:2.8 MoS:2.5 Cap:0.6 Div:0.2,⚖️ Fair Value
Game Changers,544594,Game Changers Texfab Ltd,10.8,9.26%,39.8,33.5,197,0.00,223,N/A,0.05,N/A,0.05,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Mah. Seamless,MAHSEAMLES,Maharashtra Seamless Ltd,10.9,9.17%,14.6,11.0,"8,229",1.63,-3,21,Negative Growth,0.52,Negative Growth+Yield,0.48,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,5.8,EY:2.8 MoS:0.2 Cap:1.6 Div:1.2,⚖️ Fair Value
DCM Shriram,DCMSHRIRAM,DCM Shriram Ltd,11.9,8.40%,11.2,11.3,"16,374",1.07,-4,5,Negative Growth,2.38,Negative Growth+Yield,1.96,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,4.9,EY:2.8 MoS:0.2 Cap:1.1 Div:0.8,⚖️ Fair Value
Veedol Corporat,VEEDOL,Veedol Corporation Ltd,18.2,5.49%,18.2,17.3,"2,631",3.84,16,3,1.14,6.07,0.92,2.66,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating,7.3,EY:2.2 MoS:1.5 Cap:2.1 Div:1.5,🌟 Quality Value
Samkrg Pistons,520075,Samkrg Pistons & Rings Ltd,12.3,8.13%,10.1,4.92,117,0.42,-13,-11,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.6,EY:2.8 MoS:0.2 Cap:1.1 Div:0.5,⚖️ Fair Value
B & A Packaging,523186,B & A Packaging India Ltd,12.5,8.00%,11.0,8.24,97.0,0.51,-6,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.9,EY:2.8 MoS:0.2 Cap:1.1 Div:0.8,⚖️ Fair Value
KSE,KSE,KSE Ltd,13.7,7.30%,33.6,25.9,632,6.34,191,-5,0.07,Negative Growth,0.07,10.22,8.9,V:10.0 L:5.6 R:10.0 T:10.0,🚀 Inflection,9.3,EY:2.8 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
National Plastic,531287,National Plastic Technologies Ltd,14.3,6.99%,16.8,16.8,138,0.66,15,47,0.95,0.30,0.91,0.30,7.2,V:8.4 L:4.0 R:6.4 T:10.0,📈 Accelerating,7.3,EY:2.8 MoS:2.1 Cap:1.6 Div:0.8,🌟 Quality Value
Voith Paper,VOITHPAPR,Voith Paper Fabrics India Ltd,14.6,6.85%,14.9,11.1,654,0.67,12,11,1.22,1.33,1.15,1.25,7.1,V:6.4 L:5.6 R:6.4 T:10.0,🛡️ Mature,6.7,EY:2.8 MoS:1.5 Cap:1.6 Div:0.8,🌟 Quality Value
Panch.Organics,PANCHSHEEL,Panchsheel Organics Ltd,15.3,6.54%,10.3,7.89,158,2.67,-8,17,Negative Growth,0.90,Negative Growth+Yield,0.78,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.7,EY:2.2 MoS:0.2 Cap:1.1 Div:1.2,⚖️ Fair Value
