Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
MPIL Corporation,MATHPLATT,MPIL Corporation Ltd,,N/A,-21.6,-28.2,27.3,0.09,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Naturite Agro,538926,Naturite Agro Products Ltd,,N/A,2.08,-7.32,105,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
B P C L,BPCL,Bharat Petroleum Corporation Ltd,9.20,10.87%,32.1,29.9,"1,39,053",5.48,107,13,0.09,0.71,0.08,0.50,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection,10.0,EY:3.5 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
Rishiroop,526492,Rishiroop Ltd,9.13,10.95%,5.34,3.36,97.7,1.41,-18,-18,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,5.1,EY:3.5 MoS:0.2 Cap:0.6 Div:0.8,⚖️ Fair Value
Maithan Alloys,MAITHANALL,Maithan Alloys Ltd,10.5,9.52%,14.0,11.0,"2,956",1.67,-1,14,Negative Growth,0.75,15.67,0.67,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,5.8,EY:2.8 MoS:0.2 Cap:1.6 Div:1.2,⚖️ Fair Value
Pushpa Jewellers,PUSHPA,Pushpa Jewellers Ltd,10.3,9.71%,30.4,25.2,277,0.00,49,72,0.21,0.14,0.21,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Systango Tech,SYSTANGO,Systango Technologies Ltd,11.4,8.77%,31.5,25.9,341,3.01,33,41,0.35,0.28,0.32,0.26,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection,9.3,EY:2.8 MoS:2.5 Cap:2.5 Div:1.5,💎 Deep Value
MANGALAM SEEDS,MSL,Mangalam Seeds Ltd,17.6,5.68%,10.2,9.86,151,0.00,-9,6,Negative Growth,2.93,Negative Growth+Yield,2.93,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.7,EY:2.2 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Alpex Solar,ALPEXSOLAR,Alpex Solar Ltd,11.0,9.09%,43.8,52.4,"2,214",0.00,279,138,0.04,0.08,0.04,0.08,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Robust Hotels,RHL,Robust Hotels Ltd,11.2,8.93%,5.71,3.46,300,0.00,-24,23,Negative Growth,0.49,Negative Growth+Yield,0.49,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,3.8,EY:2.8 MoS:0.2 Cap:0.6 Div:0.2,⚠️ Value Trap
