Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Trent,TRENT,Trent Ltd,89.2,"1,60,217",0.13,59,110,1.51,0.81,1.51,0.81
Fidel Softech,FIDEL,Fidel Softech Ltd,26.5,226,1.37,16,20,1.66,1.32,1.53,1.24
Ajax Engineering,AJAXENGG,Ajax Engineering Ltd,29.0,"6,600",0.00,19,19,1.53,1.53,1.53,1.53
Tech Mahindra,TECHM,Tech Mahindra Ltd,40.4,"1,61,202",3.10,2,-1,20.20,Negative Growth,7.92,19.24
Berger Paints,BERGEPAINT,Berger Paints India Ltd,55.3,"60,614",0.77,10,10,5.53,5.53,5.13,5.13
P N Gadgil Jewe.,PNGJL,P N Gadgil Jewellers Ltd,20.7,"9,085",0.00,94,122,0.22,0.17,0.22,0.17
Swastika Investm,530585,Swastika Investmart Ltd,15.2,231,0.52,35,7,0.43,2.17,0.43,2.02
Indigo Paints,INDIGOPNTS,Indigo Paints Ltd,35.2,"5,273",0.32,5,16,7.04,2.20,6.62,2.16
KVS Castings,544554,KVS Castings Ltd,17.3,122,0.00,13,N/A,1.33,N/A,1.33,N/A
Roto Pumps,ROTO,Roto Pumps Ltd,61.1,"1,304",1.16,-11,2,Negative Growth,30.55,Negative Growth+Yield,19.34
Nahar Poly,NAHARPOLY,Nahar Polyfilms Ltd,9.85,672,0.37,29,6,0.34,1.64,0.34,1.55
Nilkamal Ltd,NILKAMAL,Nilkamal Ltd,23.9,"2,789",1.07,-1,3,Negative Growth,7.97,341.43,5.87
Landmark Cars,LANDMARK,Landmark Cars Ltd,53.4,"2,226",0.09,-7,23,Negative Growth,2.32,Negative Growth+Yield,2.31
Alpine Housing,ALPINEHOU,Alpine Housing Development Corporation Ltd,40.6,246,0.00,36,16,1.13,2.54,1.13,2.54
Knowledge Realty,KRT,Knowledge Realty Trust,18.3,"52,486",1.44,127,N/A,0.14,N/A,0.14,N/A
Fairchem Organic,FAIRCHEMOR,Fairchem Organics Ltd,70.8,"1,071",0.12,-48,-32,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Piramal Pharma,PPLPHARMA,Piramal Pharma Ltd,33.9,"26,052",0.07,119,7,0.28,4.84,0.28,4.79
AksharChem (I),AKSHARCHEM,AksharChem (India) Ltd,,193,0.30,N/A,N/A,N/A,N/A,N/A,N/A
