Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Simplex Papers,533019,Simplex Papers Ltd,,N/A,-31.9,N/A,4.13,0.00,14,-2,N/A,N/A,N/A,N/A,4.6,V:4.0 L:4.0 R:6.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Pilani Invest.,PILANIINVS,Pilani Investment & Industries Corporation Ltd,148,0.68%,1.52,0.48,"4,875",0.20,-25,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.3,V:0.8 L:7.2 R:2.0 T:3.2,🔻 Declining,1.8,EY:0.5 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
BirlaNu Ltd,BIRLANU,BirlaNu Ltd,25.1,3.98%,3.04,0.03,"1,112",1.01,-86,-71,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,2.6,EY:1.0 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Naga Dhunseri,NDGL,Naga Dhunseri Group Ltd,,N/A,-3.46,-3.48,286,0.09,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
S V Global Mill,SVGLOBAL,S V Global Mill Ltd,52.9,1.89%,-4.30,-17.1,232,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Popular Vehicles,PVSL,Popular Vehicles & Services Ltd,,N/A,-0.15,-12.6,761,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Deccan Cements,DECCANCE,Deccan Cements Ltd,,N/A,3.31,2.43,824,0.09,-29,-31,N/A,N/A,N/A,N/A,3.9,V:4.0 L:5.6 R:2.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Hariyana Ship,HRYNSHP,Hariyana Ship Breakers Ltd,3.70,27.03%,11.8,7.48,63.8,0.00,38,2,0.10,1.85,0.10,1.85,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,7.3,EY:3.5 MoS:2.5 Cap:1.1 Div:0.2,🌟 Quality Value
LIC Housing Fin.,LICHSGFIN,LIC Housing Finance Ltd,5.04,19.84%,8.58,14.4,"28,845",1.91,25,15,0.20,0.34,0.19,0.30,9.6,V:10.0 L:10.0 R:8.4 T:10.0,🚀 Inflection,8.8,EY:3.5 MoS:2.5 Cap:1.6 Div:1.2,💎 Deep Value
Canara Bank,CANBK,Canara Bank,6.11,16.37%,6.55,18.1,"1,17,932",3.24,23,50,0.27,0.12,0.23,0.11,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating,9.6,EY:3.5 MoS:2.5 Cap:2.1 Div:1.5,💎 Deep Value
CSL Finance,CSLFINANCE,CSL Finance Ltd,6.01,16.64%,14.4,14.8,523,1.31,24,26,0.25,0.23,0.24,0.22,8.5,V:10.0 L:5.6 R:8.4 T:10.0,📈 Accelerating,8.4,EY:3.5 MoS:2.5 Cap:1.6 Div:0.8,💎 Deep Value
