Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Diamines & Chem.,DIAMINESQ,Diamines & Chemicals Ltd,,N/A,-7.66,-7.18,256,0.39,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
Shri Vasuprada,VASUPRADA,Shri Vasuprada Plantations Ltd,,N/A,-0.69,-5.90,84.5,0.00,18,5,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery,2.3,EY:0.5 MoS:1.0 Cap:0.6 Div:0.2,⚠️ Value Trap
Dhunseri Tea,DTIL,Dhunseri Tea & Industries Ltd,97.7,1.02%,0.39,-0.08,152,1.39,25,N/A,3.91,N/A,3.70,N/A,5.1,V:2.0 L:4.0 R:8.4 T:6.0,🛡️ Mature,2.4,EY:0.5 MoS:0.5 Cap:0.6 Div:0.8,⚠️ Value Trap
Chemfab Alka.,CHEMFAB,Chemfab Alkalis Ltd,77.1,1.30%,3.09,1.02,535,0.33,-61,20,Negative Growth,3.85,Negative Growth+Yield,3.79,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,1.8,EY:0.5 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
Tega Inds.,TEGA,Tega Industries Ltd,77.5,1.29%,9.00,6.85,"12,595",0.12,11,-11,7.05,Negative Growth,6.97,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
IST,ISTLTD,IST Ltd,17.8,5.62%,14.9,12.4,779,0.00,68,36,0.26,0.49,0.26,0.49,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection,6.5,EY:2.2 MoS:2.5 Cap:1.6 Div:0.2,🌟 Quality Value
Sandesh,SANDESH,Sandesh Ltd,7.08,14.12%,7.16,4.95,783,0.49,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,4.8,EY:3.5 MoS:0.2 Cap:0.6 Div:0.5,⚖️ Fair Value
Coal India,COALINDIA,Coal India Ltd,14.1,7.09%,85.6,84.5,"2,65,962",6.15,3,16,4.70,0.88,1.54,0.64,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant,7.3,EY:2.8 MoS:0.5 Cap:2.5 Div:1.5,🌟 Quality Value
SIL Investments,SILINV,SIL Investments Ltd,12.1,8.26%,1.87,1.43,489,0.54,12,14,1.01,0.86,0.96,0.83,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature,5.7,EY:2.8 MoS:1.5 Cap:0.6 Div:0.8,⚖️ Fair Value
Pushpa Jewellers,PUSHPA,Pushpa Jewellers Ltd,10.2,9.80%,30.4,25.2,274,0.00,49,72,0.21,0.14,0.21,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,8.0,EY:2.8 MoS:2.5 Cap:2.5 Div:0.2,💎 Deep Value
Vraj Iron,VRAJ,Vraj Iron & Steel Ltd,12.8,7.81%,10.2,7.39,410,0.00,-17,25,Negative Growth,0.51,Negative Growth+Yield,0.51,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,4.3,EY:2.8 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
