Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Poly Medicure,POLYMED,Poly Medicure Ltd,50.3,"17,173",0.21,26,22,1.93,2.29,1.92,2.26,6.9,V:4.4 L:8.8 R:8.4 T:6.0,🛡️ Mature
Jyoti CNC Auto.,JYOTICNC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cochin Shipyard,COCHINSHIP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hatsun Agro,HATSUN,Hatsun Agro Product Ltd,57.4,"20,987",1.06,30,8,1.91,7.17,1.85,6.34,7.6,V:4.4 L:10.0 R:10.0 T:6.0,🛡️ Mature
MKVentures Cap.,514238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blackbuck,BLACKBUCK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gopal Snacks,GOPAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vasa Denticity,DENTALKART,Vasa Denticity Ltd,65.7,709,0.00,12,101,5.48,0.65,5.48,0.65,5.0,V:2.0 L:5.6 R:6.4 T:6.0,🛡️ Mature
Hi-Green Carbon,HIGREEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sarup Industries,514412,Sarup Industries Ltd,74.8,42.6,0.00,31,16,2.41,4.67,2.41,4.67,5.1,V:2.0 L:4.0 R:8.4 T:6.0,🛡️ Mature
Tata Inv.Corpn.,TATAINVEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vadilal Enterp.,519152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BEML Ltd,BEML,BEML Ltd,80.8,"14,889",0.59,-1,15,Negative Growth,5.39,Negative Growth+Yield,5.18,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Sundrop Brands,SUNDROP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Ramco Cement,RAMCOCEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRP,GRPLTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cohance Life,COHANCE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TARC Ltd,TARC,TARC Ltd,,"3,852",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery
Dalal Street Inv,501148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asian Hotels (N),ASIANHOTNR,Asian Hotels (North) Ltd,491,"1,331",0.00,27,15,18.19,32.73,18.19,32.73,5.2,V:2.0 L:7.2 R:8.4 T:3.2,🛡️ Mature
Gem Aromatics,GEMAROMA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
