Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
The Ravalgaon,RAVALSUGAR,The Ravalgaon Sugar Farm Ltd,,34.0,0.00,-10,-25,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Samrat Pharma,530125,Samrat Pharmachem Ltd,,74.7,0.41,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Bombay Oxygen,509470,Bombay Oxygen Investments Ltd,,296,0.13,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Hindoo. Mills,509895,Hindoostan Mills Ltd,,27.0,0.00,23,N/A,N/A,N/A,N/A,N/A,5.1,V:4.0 L:4.0 R:8.4 T:4.0,🔍 Discovery
Naturite Agro,538926,Naturite Agro Products Ltd,,104,0.00,-10,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Hexa Tradex,HEXATRADEX,Hexa Tradex Ltd,,893,0.00,-2,N/A,N/A,N/A,N/A,N/A,3.9,V:4.0 L:5.6 R:2.0 T:4.0,🔍 Discovery
Jetking Infotrai,517063,Jetking Infotrain Ltd,,66.1,0.00,-8,N/A,N/A,N/A,N/A,N/A,3.5,V:4.0 L:4.0 R:2.0 T:4.0,🔍 Discovery
Muller & Phipps,501477,Muller & Phipps (India) Ltd,,13.6,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
V I P Inds.,VIPIND,V I P Industries Ltd,,"4,468",0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.8,V:4.0 L:7.2 R:4.0 T:4.0,🔍 Discovery
Loyal Textile,LOYALTEX,Loyal Textile Mills Ltd,,103,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Propshare Celestia,544752,Property Share Investment Trust-Propshare Celestia,,238,1.61,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Vardhman Hold.,VHL,Vardhman Holdings Ltd,24.7,"1,142",0.14,80,22,0.31,1.12,0.31,1.12,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
Punjab Natl.Bank,PNB,Punjab National Bank,6.41,"1,31,364",2.62,89,53,0.07,0.12,0.07,0.12,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
REC Ltd,RECLTD,REC Ltd,6.00,"95,898",5.13,14,14,0.43,0.43,0.31,0.31,9.1,V:10.0 L:10.0 R:6.4 T:10.0,🛡️ Mature
Canara Bank,CANBK,Canara Bank,6.21,"1,19,702",3.19,23,50,0.27,0.12,0.24,0.12,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating
Rajapalayam Mill,RAJPALAYAM,Rajapalayam Mills Ltd,,769,0.06,N/A,6,N/A,N/A,N/A,N/A,4.4,V:4.0 L:5.6 R:4.0 T:4.0,🔍 Discovery
Ceejay Finance,530789,Ceejay Finance Ltd,7.85,60.6,0.68,4,12,1.96,0.65,1.68,0.62,5.2,V:4.4 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.37,75.4,0.35,129,N/A,0.06,N/A,0.06,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Virtual Galaxy,VGINFOTECH,Virtual Galaxy Infotech Ltd,8.40,387,0.64,195,84,0.04,0.10,0.04,0.10,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
Monarch Surve.,544453,Monarch Surveyors and Engineering Consultants Ltd,8.65,322,0.70,63,N/A,0.14,N/A,0.14,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
Sr.Rayala.Hypo,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,8.50,874,0.59,-10,11,Negative Growth,0.77,Negative Growth+Yield,0.73,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
RDB Rasayans,533608,RDB Rasayans Ltd,8.76,291,0.00,12,12,0.73,0.73,0.73,0.73,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Sangal Papers,516096,Sangal Papers Ltd,9.06,21.5,0.00,-11,30,Negative Growth,0.30,Negative Growth+Yield,0.30,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
G S F C,GSFC,Gujarat State Fertilizers & Chemicals Ltd,9.93,"6,472",3.08,-20,11,Negative Growth,0.90,Negative Growth+Yield,0.71,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Sita Enterprises,512589,Sita Enterprises Ltd,9.93,44.9,0.00,119,74,0.08,0.13,0.08,0.13,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Pushpa Jewellers,PUSHPA,Pushpa Jewellers Ltd,10.2,274,0.00,49,72,0.21,0.14,0.21,0.14,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Aries Agro,ARIES,Aries Agro Ltd,11.6,445,0.35,24,11,0.48,1.05,0.48,1.02,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating
D B Corp,DBCORP,D B Corp Ltd,10.7,"3,768",3.32,25,20,0.43,0.53,0.38,0.46,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
Suraj Estate,SURAJEST,Suraj Estate Developers Ltd,12.7,977,0.00,27,66,0.47,0.19,0.47,0.19,8.5,V:10.0 L:5.6 R:8.4 T:10.0,🚀 Inflection
Vedanta Aluminium Metal,VAML,Vedanta Aluminium Metal Ltd,57.8,"1,87,873",1.66,N/A,N/A,N/A,N/A,N/A,N/A,6.0,V:4.0 L:10.0 R:4.0 T:6.0,🔍 Discovery
Samkrg Pistons,520075,Samkrg Pistons & Rings Ltd,12.3,120,0.41,-13,-11,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Robust Hotels,RHL,Robust Hotels Ltd,12.4,307,0.00,-24,23,Negative Growth,0.54,Negative Growth+Yield,0.54,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
WOL 3D India,WOL3D,WOL 3D India Ltd,13.6,91.0,0.00,40,50,0.34,0.27,0.34,0.27,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
KPT Industries,505299,KPT Industries Ltd,13.7,173,0.59,15,43,0.91,0.32,0.88,0.31,7.2,V:8.4 L:4.0 R:6.4 T:10.0,📈 Accelerating
Veedol Corporat,VEEDOL,Veedol Corporation Ltd,19.5,"2,604",3.89,16,3,1.22,6.50,0.98,2.83,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating
PNC Infratech,PNCINFRA,PNC Infratech Ltd,18.1,"6,158",0.25,-17,-1,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Shayona Eng.,544686,Shayona Engineering Ltd,14.0,56.4,0.00,90,125,0.16,0.11,0.16,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Prakash Pipes,PPL,Prakash Pipes Ltd,14.1,609,0.91,-10,4,Negative Growth,3.52,Negative Growth+Yield,2.87,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Voith Paper,PORRITSPEN,Voith Paper Fabrics India Ltd,14.8,668,0.66,12,11,1.23,1.35,1.17,1.27,7.1,V:6.4 L:5.6 R:6.4 T:10.0,🛡️ Mature
Accelya Solution,ACCELYA,Accelya Solutions India Ltd,15.2,"1,695",7.91,1,20,15.20,0.76,1.71,0.54,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant
Ultramarine Pig.,ULTRAMAR,Ultramarine & Pigments Ltd,16.5,"1,139",1.54,1,5,16.50,3.30,6.50,2.52,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant
Gallard Steel,544616,Gallard Steel Ltd,22.4,151,0.00,81,132,0.28,0.17,0.28,0.17,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
G G Automotive,531399,G G Automotive Gears Ltd,16.9,162,0.00,79,46,0.21,0.37,0.21,0.37,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Paul Merchants,PML,Paul Merchants Ltd,11.8,156,0.00,-20,1,Negative Growth,11.80,Negative Growth+Yield,11.80,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Rupa & Co,RUPA,Rupa & Company Ltd,17.5,"1,334",1.79,13,-15,1.35,Negative Growth,1.18,Negative Growth+Yield,7.5,V:6.4 L:7.2 R:6.4 T:10.0,🛡️ Mature
Finolex Inds.,FINPIPE,Finolex Industries Ltd,18.3,"10,633",1.17,40,-4,0.46,Negative Growth,0.44,Negative Growth+Yield,9.7,V:10.0 L:8.8 R:10.0 T:10.0,🚀 Inflection
Castrol India,CASTROLIND,Castrol India Ltd,17.8,"19,195",4.51,6,10,2.97,1.78,1.69,1.23,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Albert David,ALBERTDAVD,Albert David Ltd,18.5,417,0.68,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery
Rel. Chemotex,RELCHEMQ,Reliance Chemotex Industries Ltd,18.7,98.6,0.38,-26,-6,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Surya Roshni,SURYAROSNI,Surya Roshni Ltd,19.1,"5,456",1.70,-5,13,Negative Growth,1.47,Negative Growth+Yield,1.30,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Ecoplast,526703,Ecoplast Ltd,19.3,231,0.00,60,119,0.32,0.16,0.32,0.16,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Rossari Biotech,ROSSARI,Rossari Biotech Ltd,19.3,"2,910",0.10,22,10,0.88,1.93,0.87,1.91,8.5,V:8.4 L:7.2 R:8.4 T:10.0,📈 Accelerating
Kotak Mah. Bank,KOTAKBANK,Kotak Mahindra Bank Ltd,26.5,"3,93,896",0.16,9,15,2.94,1.77,2.89,1.75,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
K. V. Toys India,544641,K. V. Toys India Ltd,20.6,179,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.5,V:4.0 L:4.0 R:4.0 T:6.0,🔍 Discovery
Balu Forge,BALUFORGE,Balu Forge Industries Ltd,36.4,"5,573",0.03,69,82,0.53,0.44,0.53,0.44,8.9,V:10.0 L:8.8 R:8.4 T:8.4,🚀 Inflection
B.A.G. Converge.,BAGDIGITAL,B.A.G. Convergence Ltd,21.6,233,0.00,29,N/A,0.74,N/A,0.74,N/A,7.7,V:8.4 L:4.0 R:8.4 T:10.0,🚀 Inflection
R K Swamy,RKSWAMY,R K Swamy Ltd,26.6,528,1.91,-3,64,Negative Growth,0.42,Negative Growth+Yield,0.40,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Alembic Pharma,APLLTD,Alembic Pharmaceuticals Ltd,20.8,"16,444",1.44,26,-9,0.80,Negative Growth,0.76,Negative Growth+Yield,9.3,V:8.4 L:8.8 R:10.0 T:10.0,🚀 Inflection
Thomas Scott,THOMASCOTT,Thomas Scott India Ltd,22.2,451,0.00,91,184,0.24,0.12,0.24,0.12,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Tirupati Starch,524582,Tirupati Starch & Chemicals Ltd,22.4,148,0.00,0,45,Zero Growth,0.50,Zero Growth+Yield,0.50,4.6,V:4.0 L:4.0 R:4.4 T:6.0,🔍 Discovery
KG Petrochem,531609,KG Petrochem Ltd,22.8,101,0.00,-18,-22,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Interarch Build.,INTERARCH,Interarch Building Solutions Ltd,22.9,"3,128",0.67,19,85,1.21,0.27,1.16,0.27,8.0,V:6.4 L:7.2 R:8.4 T:10.0,📈 Accelerating
Ambuja Cements,AMBUJACEM,Ambuja Cements Ltd,29.0,"1,08,952",0.46,14,17,2.07,1.71,2.01,1.66,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
DIC India,DICIND,DIC India Ltd,23.4,487,0.57,22,13,1.06,1.80,1.04,1.72,7.2,V:6.4 L:4.0 R:8.4 T:10.0,📈 Accelerating
CMR Green Tech.,CMRGREEN,CMR Green Technologies Ltd,40.0,"5,074",0.00,20,-2,2.00,Negative Growth,2.00,Negative Growth+Yield,6.9,V:4.4 L:8.8 R:8.4 T:6.0,🛡️ Mature
Reliance Industries,RELIANCE,Reliance Industries Ltd,45.7,"17,91,661",0.45,-2,9,Negative Growth,5.08,Negative Growth+Yield,4.84,4.7,V:0.8 L:10.0 R:2.0 T:6.0,🔻 Declining
U P Hotels,509960,U P Hotels Ltd,24.4,785,0.00,11,44,2.22,0.55,2.22,0.55,5.0,V:2.0 L:5.6 R:6.4 T:6.0,🛡️ Mature
Galaxy Surfact.,GALAXYSURF,Galaxy Surfactants Ltd,43.4,"7,021",1.11,-9,-2,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Arihant Super.,ARIHANTSUP,Arihant Superstructures Ltd,797,"1,163",0.56,-57,-18,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.3,V:0.8 L:7.2 R:2.0 T:3.2,🔻 Declining
Globus Spirits,GLOBUSSPR,Globus Spirits Ltd,25.3,"2,624",0.31,-8,-8,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Apollo Sindoori,APOLSINHOT,Apollo Sindoori Hotels Ltd,29.4,323,0.20,-3,11,Negative Growth,2.67,Negative Growth+Yield,2.62,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Vinati Organics,VINATIORGA,Vinati Organics Ltd,28.1,"14,031",0.56,5,13,5.62,2.16,5.05,2.07,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
EIH,EIHOTEL,EIH Ltd,32.6,"20,427",0.46,21,33,1.55,0.99,1.52,0.97,7.2,V:4.4 L:10.0 R:8.4 T:6.0,🛡️ Mature
Arvind SmartSp.,ARVSMART,Arvind SmartSpaces Ltd,60.3,"2,772",0.99,7,27,8.61,2.23,7.55,2.15,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature
