Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
I R C T C,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,30.2,"41,644",1.63,12,54,2.52,0.56,2.22,0.54,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Dishman Carbogen,DCAL,Dishman Carbogen Amcis Ltd,,"3,056",0.00,10,13,N/A,N/A,N/A,N/A,5.4,V:4.0 L:7.2 R:6.4 T:4.0,🔍 Discovery
Container Corpn.,CONCOR,Container Corporation Of India Ltd,31.3,"38,837",1.48,2,17,15.65,1.84,8.99,1.69,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant
Orient Electric,ORIENTELEC,Orient Electric Ltd,31.8,"3,799",0.84,11,-3,2.89,Negative Growth,2.69,Negative Growth+Yield,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature
Jeena Sikho,JSLL,Jeena Sikho Lifecare Ltd,33.8,"7,503",0.18,88,85,0.38,0.40,0.38,0.40,8.9,V:10.0 L:8.8 R:8.4 T:8.4,🚀 Inflection
Naperol Invest.,NATPEROXID,Naperol Investments Ltd,35.0,377,1.37,260,-21,0.13,Negative Growth,0.13,Negative Growth+Yield,8.1,V:10.0 L:4.0 R:10.0 T:8.4,🚀 Inflection
Aarti Pharma,AARTIPHARM,Aarti Pharmalabs Ltd,35.1,"6,256",0.72,1,N/A,35.10,N/A,20.41,N/A,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant
Mazagon Dock,MAZDOCK,Mazagon Dock Shipbuilders Ltd,40.6,"1,02,494",0.72,31,33,1.31,1.23,1.28,1.20,8.7,V:6.4 L:10.0 R:10.0 T:8.4,📈 Accelerating
DLF,DLF,DLF Ltd,43.2,"1,55,349",1.25,15,27,2.88,1.60,2.66,1.53,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Jindal Steel,JINDALSTEL,Jindal Steel Ltd,32.2,"1,11,765",0.18,15,-11,2.15,Negative Growth,2.12,Negative Growth+Yield,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
V-Guard Industri,VGUARD,V-Guard Industries Ltd,43.4,"14,082",0.47,15,6,2.89,7.23,2.81,6.71,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
Borosil,BORORENEW,Borosil Renewables Ltd,19.6,"7,895",0.00,61,32,0.32,0.61,0.32,0.61,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection
Abbott India,ABBOTINDIA,Abbott India Ltd,38.3,"59,302",1.88,18,17,2.13,2.25,1.93,2.03,6.6,V:2.0 L:10.0 R:8.4 T:6.0,🛡️ Mature
Pearl Green Club,543540,Pearl Green Clubs and Resorts Ltd,38.6,31.3,0.00,65,63,0.59,0.61,0.59,0.61,7.7,V:10.0 L:4.0 R:8.4 T:8.4,🚀 Inflection
ITC Hotels,ITCHOTELS,ITC Hotels Ltd,39.8,"35,642",0.58,N/A,N/A,N/A,N/A,N/A,N/A,6.0,V:4.0 L:10.0 R:4.0 T:6.0,🔍 Discovery
Whirlpool India,WHIRLPOOL,Whirlpool of India Ltd,47.8,"10,558",0.60,12,-5,3.98,Negative Growth,3.79,Negative Growth+Yield,5.8,V:2.0 L:8.8 R:6.4 T:6.0,🛡️ Mature
JSW Dulux,JSWDULUX,JSW Dulux Ltd,39.0,"14,040",1.62,2,11,19.50,3.55,10.77,3.09,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant
Banaras Beads,BANARBEADS,Banaras Beads Ltd,40.2,76.0,1.97,-11,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Eco Recyc.,530643,Eco Recycling Ltd,39.8,947,0.00,57,38,0.70,1.05,0.70,1.05,7.7,V:8.4 L:5.6 R:8.4 T:8.4,🚀 Inflection
Supreme Inds.,SUPREMEIND,Supreme Industries Ltd,46.9,"44,200",1.04,6,2,7.82,23.45,6.66,15.43,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Marble City,531281,Marble City India Ltd,72.0,310,0.00,77,156,0.94,0.46,0.94,0.46,6.7,V:8.4 L:4.0 R:8.4 T:6.0,🚀 Inflection
Premco Global,PREMCO,Premco Global Ltd,11.5,127,1.56,22,38,0.52,0.30,0.49,0.29,8.1,V:10.0 L:4.0 R:8.4 T:10.0,📈 Accelerating
Crompton Gr. Con,CROMPTON,Crompton Greaves Consumer Electricals Ltd,49.3,"17,269",1.11,-9,-10,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Britannia Inds.,BRITANNIA,Britannia Industries Ltd,50.8,"1,30,070",1.67,9,8,5.64,6.35,4.76,5.25,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature
Choksi Laborator,526546,Choksi Laboratories Ltd,54.9,82.3,0.00,-3,21,Negative Growth,2.61,Negative Growth+Yield,2.61,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Cochin Shipyard,COCHINSHIP,Cochin Shipyard Ltd,61.4,"39,462",0.65,31,1,1.98,61.40,1.94,37.21,7.6,V:4.4 L:10.0 R:10.0 T:6.0,🛡️ Mature
Hatsun Agro,HATSUN,Hatsun Agro Product Ltd,56.5,"20,653",1.08,30,8,1.88,7.06,1.82,6.22,7.6,V:4.4 L:10.0 R:10.0 T:6.0,🛡️ Mature
Hikal,HIKAL,Hikal Ltd,64.1,"2,735",0.63,-22,-23,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Hi-Green Carbon,HIGREEN,Hi-Green Carbon Ltd,41.6,347,0.00,-12,107,Negative Growth,0.39,Negative Growth+Yield,0.39,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Sarup Industries,514412,Sarup Industries Ltd,74.2,42.3,0.00,31,16,2.39,4.64,2.39,4.64,5.1,V:2.0 L:4.0 R:8.4 T:6.0,🛡️ Mature
Vadilal Enterp.,519152,Vadilal Enterprises Ltd,82.3,860,0.02,24,67,3.43,1.23,3.43,1.23,5.5,V:2.0 L:5.6 R:8.4 T:6.0,🛡️ Mature
Wendt India,WENDT,Wendt India Ltd,62.6,"1,614",0.37,-23,7,Negative Growth,8.94,Negative Growth+Yield,8.49,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining
Baazar Style,STYLEBAAZA,Baazar Style Retail Ltd,105,"2,324",0.00,57,27,1.84,3.89,1.84,3.89,5.8,V:4.4 L:7.2 R:8.4 T:3.2,🛡️ Mature
JSW Holdings,JSWHL,JSW Holdings Ltd,107,"13,438",0.00,-26,13,Negative Growth,8.23,Negative Growth+Yield,8.23,3.7,V:0.8 L:8.8 R:2.0 T:3.2,🔻 Declining
Bharat Dynamics,BDL,Bharat Dynamics Ltd,113,"47,540",0.36,6,10,18.83,11.30,17.77,10.91,5.4,V:2.0 L:10.0 R:6.4 T:3.2,🛡️ Mature
Machino Plastics,523248,Machino Plastics Ltd,125,165,0.00,-6,18,Negative Growth,6.94,Negative Growth+Yield,6.94,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
Bluechip Tex Ind,506981,Bluechip Tex Industries Ltd,130,24.6,0.00,-41,-36,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
Pine Labs,PINELABS,Pine Labs Ltd,108,"18,001",0.00,66,35,1.64,3.09,1.64,3.09,6.2,V:4.4 L:8.8 R:8.4 T:3.2,🛡️ Mature
Cohance Life,COHANCE,Cohance Lifesciences Ltd,87.9,"16,810",0.00,-16,-4,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Lak. Electrical,LAKSELECON,Lakshmi Electrical Control Systems Ltd,165,198,0.37,-61,-25,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining
SignatureGlobal,SIGNATURE,SignatureGlobal India Ltd,,"11,462",0.00,20,N/A,N/A,N/A,N/A,N/A,6.3,V:4.0 L:8.8 R:8.4 T:4.0,🔍 Discovery
Asian Hotels (N),ASIANHOTNR,Asian Hotels (North) Ltd,497,"1,346",0.00,27,15,18.41,33.13,18.41,33.13,5.2,V:2.0 L:7.2 R:8.4 T:3.2,🛡️ Mature
MASK INVESTMENTS,MASKINVEST,Mask Investments Ltd,773,46.4,0.00,0,43,Zero Growth,17.98,Zero Growth+Yield,17.98,3.9,V:4.0 L:4.0 R:4.4 T:3.2,🔍 Discovery
