Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
International Gemological Instit,IGIL,International Gemological Institute Limited,26.3,"15,774",0.69,44,77,0.60,0.34,0.59,0.34,8.9,V:8.4 L:8.8 R:10.0 T:8.4,🚀 Inflection
Captain Techno.,540652,Captain Technocast Ltd,61.6,627,0.00,53,34,1.16,1.81,1.16,1.81,6.6,V:6.4 L:5.6 R:8.4 T:6.0,📈 Accelerating
Bharti Airtel,BHARTIARTL,Bharti Airtel Ltd,76.4,"12,30,130",1.22,235,25,0.33,3.06,0.32,2.91,9.0,V:10.0 L:10.0 R:10.0 T:6.0,🚀 Inflection
Indian Phosphate,IPHL,Indian Phosphate Ltd,8.76,187,0.00,9,32,0.97,0.27,0.97,0.27,7.2,V:8.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
A C J K Exports,AEROPLANE,Amir Chand Jagdish Kumar (Exports) Ltd,23.2,"2,059",0.00,74,40,0.31,0.58,0.31,0.58,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
T N Petro Prod.,TNPETRO,Tamil Nadu Petro Products Ltd,10.5,874,1.23,-2,-5,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
Rishi Laser,526861,Rishi Laser Ltd,31.3,128,0.00,-5,26,Negative Growth,1.20,Negative Growth+Yield,1.20,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Vijay Solvex,531069,Vijay Solvex Ltd,11.7,220,0.00,8,-22,1.46,Negative Growth,1.46,Negative Growth+Yield,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
