Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Optivalue Tek,OPTIVALUE,Optivalue Tek Consulting Ltd,16.9,232,0.00,71,65,0.24,0.26,0.24,0.26
United Spirits,UNITDSPR,United Spirits Ltd,51.1,"1,06,717",1.16,27,36,1.89,1.42,1.81,1.38
Tanla Platforms,TANLA,Tanla Platforms Ltd,47.7,"7,954",2.00,-7,2,Negative Growth,23.85,Negative Growth+Yield,11.93
Kalyan Jewellers,KALYANKJIL,Kalyan Jewellers India Ltd,45.1,"59,233",0.26,47,57,0.96,0.79,0.95,0.79
M R P L,MRPL,Mangalore Refinery And Petrochemicals Ltd,10.8,"29,750",2.36,-9,36,Negative Growth,0.30,Negative Growth+Yield,0.28
Crop Life Scienc,CLSL,Crop Life Science Ltd,15.0,105,0.00,20,14,0.75,1.07,0.75,1.07
Indokem,504092,Indokem Ltd,823,"1,752",0.00,83,-8,9.92,Negative Growth,9.92,Negative Growth+Yield
Kaira Can,504840,Kaira Can Company Ltd,82.4,148,0.75,-39,-22,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
