Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Life Insurance,LICI,Life Insurance Corporation of India,9.45,"5,47,365",2.30,16,82,0.59,0.12,0.52,0.11
Ganesh Housing,GANESHHOU,Ganesh Housing Ltd,191,"6,807",0.18,-27,23,Negative Growth,8.30,Negative Growth+Yield,8.24
20 Microns,20MICRONS,20 Microns Ltd,12.2,729,0.62,18,21,0.68,0.58,0.66,0.56
PDS,PDSL,PDS Ltd,187,"5,153",0.90,-32,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Manba Finance,MANBA,Manba Finance Ltd,15.3,693,0.56,44,29,0.35,0.53,0.34,0.52
Anant Raj,ANANTRAJ,Anant Raj Ltd,72.7,"21,701",0.17,41,72,1.77,1.01,1.77,1.01
IKIO Tech,IKIO,IKIO Technologies Ltd,112,"1,652",0.00,-16,-7,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Maiden Forgings,543874,Maiden Forgings Ltd,25.8,129,0.00,-19,24,Negative Growth,1.07,Negative Growth+Yield,1.07
Physicswallah,PWL,Physicswallah Ltd,"2,503","38,872",0.00,30,18,83.43,139.06,83.43,139.06
Themis Medicare,THEMISMED,Themis Medicare Ltd,,"1,040",0.43,N/A,N/A,N/A,N/A,N/A,N/A
Oricon Enterpris,ORICONENT,Oricon Enterprises Ltd,125,918,0.86,-22,26,Negative Growth,4.81,Negative Growth+Yield,4.65
