Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Adon Agro,544809,Adon Agro Commodities Ltd,28.1,203,0.00,369,N/A,0.08,N/A,0.08,N/A
Advit Jewels,RAMBHAJO,Advit Jewels Ltd,38.2,969,0.00,N/A,N/A,N/A,N/A,N/A,N/A
Exhicon Events,543895,Exhicon Events Media Solutions Ltd,51.6,806,0.03,39,230,1.32,0.22,1.32,0.22
Seshaasai Tech.,STYL,Seshaasai Technologies Ltd,26.5,"6,460",0.00,32,85,0.83,0.31,0.83,0.31
Bhadora Indust.,BHADORA,Bhadora Industries Ltd,16.8,167,0.00,281,N/A,0.06,N/A,0.06,N/A
Garware Tech.,GARFIBRES,Garware Technical Fibres Ltd,34.5,"7,642",1.04,12,8,2.88,4.31,2.65,3.82
RBZ Jewellers Lt,RBZJEWEL,RBZ Jewellers Ltd,11.0,603,0.00,35,42,0.31,0.26,0.31,0.26
Lancor Holdings,LANCORHOL,Lancor Holdings Ltd,4.86,198,0.74,401,41,0.01,0.12,0.01,0.12
Thejo Engg.,THEJO,Thejo Engineering Ltd,35.4,"2,024",0.27,27,22,1.31,1.61,1.30,1.59
Federal-Mogul Go,FMGOETZE,Federal-Mogul Goetze (India) Ltd,15.0,"2,726",0.00,23,17,0.65,0.88,0.65,0.88
Amines & Plast.,AMNPLST,Amines & Plasticizers Ltd,30.8,"1,122",0.25,20,2,1.54,15.40,1.52,13.69
FDC,FDC,FDC Ltd,22.9,"6,906",1.18,15,2,1.53,11.45,1.42,7.20
BCL Industries,BCLIND,BCL Industries Ltd,13.0,"1,068",0.72,4,13,3.25,1.00,2.75,0.95
SMC Global Sec.,SMCGLOBAL,SMC Global Securities Ltd,20.7,"1,675",1.50,-4,2,Negative Growth,10.35,Negative Growth+Yield,5.91
Jubilant Ingrev.,JUBLINGREA,Jubilant Ingrevia Ltd,42.2,"11,703",0.68,3,42,14.07,1.00,11.47,0.99
Rishi Laser,526861,Rishi Laser Ltd,31.8,130,0.00,-5,26,Negative Growth,1.22,Negative Growth+Yield,1.22
