Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y
Fidel Softech,FIDEL,Fidel Softech Ltd,25.8,220,1.41,16,20,1.61,1.29,1.48,1.21
TBO Tek,TBOTEK,TBO Tek Ltd,274,"15,764",0.00,4,44,68.50,6.23,68.50,6.23
TTK Prestige,TTKPRESTIG,TTK Prestige Ltd,46.9,"9,303",1.11,-8,-2,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Optiemus Infra.,OPTIEMUS,Optiemus Infracom Ltd,250,"5,159",0.00,-16,-13,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield
Virtuoso Optoel.,VOEPL,Virtuoso Optoelectronics Ltd,95.1,"1,502",0.00,27,50,3.52,1.90,3.52,1.90
Orient Ceratech,ORIENTCER,Orient Ceratech Ltd,25.5,504,0.59,16,12,1.59,2.12,1.54,2.03
